5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"ValueofDeviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
410,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Vitros 3600 Analyser and Reagent,The Scientific Group,"R3 829 056,71",Sole Supplier,Noting,2021/11/03,Not stated,Not stated,Reported
411,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Deviation for MicroStrategy,MicroStrategy South Africa,"R2 363 022,76",Sole Supplier,Noting,2021/11/03,Not stated,Not stated,Reported
412,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Chemagic deviation,Promolab Propriety Limited T/A Separations,"R1 424 160,00",Sole Supplier,Noting,2021/01/20,Not stated,Not stated,Reported
413,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Biofire deviation,Biomerieux,"R2 048 782,50",Sole Supplier,Noting,2021/01/20,Not stated,Not stated,Reported
414,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Allplex kits COVID-19,Inqaba Biotech,"R5 299 303,68",Sole Supplier,Noting,2021/01/20,Not stated,Not stated,Reported
415,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Service and Maintenance Agreements for
Equipment purchased for COVID testing",Various,"R1 308 712,03",Sole Supplier,Noting,2021/05/06,Not stated,Not stated,Reported
416,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Sanas Accreditation,SANAS,"R1 240 142,55",Sole Supplier,Noting,2021/04/21,Not stated,Not stated,Reported
417,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Sanas Accreditation,SANAS,"R2 675 052,00",Sole Supplier,Noting,2021/04/21,Not stated,Not stated,Reported
418,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Purchase Bosphore Rapid lysis buffer,NextGen Molecular Supplies,"R3 600 000,00",Sole Supplier,Noting,2021/04/23,Not stated,Not stated,Reported
419,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Purchase Biofire Reagents,Biomerieux,"R9 936 000,00",Sole Supplier,Noting,2021/05/03,Not stated,Not stated,Reported
420,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Reagents, controls, consumables, service and
maintenance for HbA1c and Protein analyser",Sysmex SA,"R4 330 811,00",Sole Supplier,Noting,2021/05/18,Not stated,Not stated,Reported
421,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Emergency Procurement of Generator,Goodall Power Systems,"R1 305 850,00",Only one supplier quoted on emergency RFQ process,Noting,2021/07/04,Not stated,Not stated,Reported
422,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Purchase of Biofire COV2PCR kits,Biomerieux,"R1 771 920,00",Sole Supplier,Noting,2021/05/26,Not stated,Not stated,Reported
423,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Cost per billing and service and maintenance
TOSOH G8 Instruments",Separation Scientific,"R1 000 000,00",Existing contract - Pending finalisation of new Tender process,Noting,2021/05/26,Not stated,Not stated,Reported
424,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Service and Repairs of various instruments within
GSH virology",Various,"R4 510 000,00",Sole Supplier,Noting,2021/07/04,Not stated,Not stated,Reported
425,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Reagents for depleted Siemens Contract,Siemens Healthcare,"R2 346 000,00",Sole Supplier,Noting,2021/05/18,Not stated,Not stated,Reported
426,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Purchase KF and Taqpath consumables and kit,ltc t/a Thermofisher Scientific,"R1 204 235,22",Sole Supplier,Noting,2021/04/20,Not stated,Not stated,Reported
427,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Purchase of Illumina Nextseq 550,RFQ,"R6 740 200,00",RFQ,Noting,2021/05/06,Not stated,Not stated,Reported
428,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"SANAS accreditation fees Limpopo and
Mpumulanga",SANAS,"R1 900 000,00",Sole Supplier,Noting,2021/06/04,Not stated,Not stated,Reported
429,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Procurement of dessicated / freeze dried venom,Various Venom suppliers,"R1 945 469,00",Limited Bidding,Noting,2021/05/18,Not stated,Not stated,Reported
430,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),New EMSIS digital camera,Advanced Laboratory Solutions,"R1 074 808,00",Sole Supplier,Noting,2021/05/18,Not stated,Not stated,Reported
431,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Full Blood count reagents,Siemens Healthcare,"R2 953 309,56",Sole Supplier,Noting,2021/07/05,Not stated,Not stated,Reported
432,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),SANAS accreditation fees WC,SANAS,"R2 359 805,00",Sole Supplier,Noting,2021/05/18,Not stated,Not stated,Reported
433,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Continued use of HST management service,Health System Technologies,"R2 898 000,00",Practicability,Noting,2021/05/06,Not stated,Not stated,Reported
434,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Continued use of the current HbA1c Analyser until
new tender is awarded",Bio-Rad,"R1 500 000,00",Sole Supplier,Noting,2022/02/22,Not stated,Not stated,Reported
435,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Procurement of Smart Check Novel Kits for Gene
Checker COVID Instruments",Ilex SA,"R7 560 000,00",Sole Supplier,Noting,2021/10/29,Not stated,Not stated,Reported
436,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"The continued use of the current Total Lab
Automation (TLA) RFB 017/15/16 from Roche and
RFB13/15/16 from Kat Medical until the new tender
is awarded",Roche Diagnostics & Kat Laboratory Services,"R65 000 000,00",Sole Supplier,Noting,2021/10/29,Not stated,Not stated,Reported
437,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Contract expired 31 July 2009 and was not
renewed; NHLS has been utitilizing MetroFile
Services till current",Metrofile,"R1 469 414,63",Sole Supplier,Noting,2021/10/29,Not stated,Not stated,Reported
438,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Extension of Contract for the Vitek Analyzer,Biomerieux,"R2 087 937,48",Sole Supplier,Noting,2021/10/13,Not stated,Not stated,Reported
439,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Request of approval for purchase of equipment and
reagents.",The Scientific Group,"R3 601 356,71",Sole Supplier,Noting,2021/12/12,Not stated,Not stated,Reported
440,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Purchasing of Illumina reagents/kits,Promolab Pty Ltd T/A Separations,"R9 157 732,90",Sole Supplier,Noting,2021/10/27,Not stated,Not stated,Reported
441,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Chemagic 360 with 96 rod head (instrument)
Chemagic viral DNA/RNA 300 kit H96 (reagents)",NOT LISTED,"R1 497 472,50",Emergency Procurement,Noting,2021/10/27,Not stated,Not stated,Reported
442,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Purchase of a High-throughput Next-generation
sequencer",Lasec,"R5 861 044,10",Emergency Procurement,Noting,2021/05/17,Not stated,Not stated,Reported
443,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Extension to Coagulation Contract,Ilex South Africa (Pty) ltd,"R8 424 407,80",Sole Supplier,Noting,2021/05/26,Not stated,Not stated,Reported
444,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Payment of IS invoices,InterSystems,"R2 134 225,80",Sole Supplier,Noting,2022/01/11,Not stated,Not stated,Reported
445,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Acquistion of BIOFIRE PCR kits,-,"R7 225 000,00",Sole Supplier,Noting,2022/12/20,Not stated,Not stated,Reported
446,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Request for the payment of outsourced test (Rivoril
and Lamotrigine)",North West University,"R2 500 000,00",Limited Bidding,Noting,2021/12/13,Not stated,Not stated,Reported
447,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Purchase of ArrayCGH reagents,Diagnostech (Pty) Ltd,"R1 688 477,76",Sole Supplier,Noting,2022/02/07,Not stated,Not stated,Reported
448,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Procurement of Bacteriological culture media and
stains",ThermoFisher Scientific,"R9 858 757,00",Sole Supplier,Noting,2022/02/07,Not stated,Not stated,Reported
449,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Extension to RFB038/19/20,Siemens Healthcare,"R12 910 205,67",Sole Supplier,Noting,2022/02/07,Not stated,Not stated,Reported
450,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Extension of Blanket Purchase for RFB038/1819,Siemens Healthcare,"R1 200 000,00",Sole Supplier,Noting,2022/02/23,Not stated,Not stated,Reported
451,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"Purchase Vitros 3600 Analyser Maintenance
Contract and Vitros SARS CoV-2 Reagents",The Scientific Group,"R3 753 132,17",Sole Supplier,Noting,2022/02/23,Not stated,Not stated,Reported
452,Q2 2022/23,New,2022/06/22,National Research Foundation (NRF),"Procurement of LAL Kitsfor the production of
Radioisotopes",Whitehead Scientific,"R52 663,28",Single source,Within AA/AO mandate Noting,2022/06/17,Once Off,Once Off,Reported
453,Q2 2022/23,New,2022/06/22,National Research Foundation (NRF),"Procurement of licenses, maintenanceand support
for Enterprise Risk Management and Compliance
Management Software fora period of five years.",Exclaim Innovations & Solutions (Pty) Ltd,"R945 357,00",Single source,Within AA/AO mandate Noting,2022/06/17,2022/07/01,2027/06/30,Reported
454,Q2 2022/23,New,2022/06/22,National Research Foundation (NRF),"Procurement of Raw Material for ATLAS ITk
polymoderator end-cap fabrication, for SA-CERN",Shieldwerx a division of Bladewerx LLC,"R276 560,93",Single source,Within AA/AO mandate Noting,2022/06/20,Once Off,Once Off,Reported
455,Q2 2022/23,New,2022/06/23,National Research Foundation (NRF),"Supplier of Invitrogen products (which includes Qubit
dsDNA HS reagents)",LTC Tech South Africa,"R250 000,00",Sole Source,Within AA/AO mandate Noting,2022/06/13,2022/06/13,2025/06/12,Reported
456,Q2 2022/23,New,2022/06/23,National Research Foundation (NRF),Admin Building - pipes leaking,HEB Maintenance,"R2 623,85",Emergency,Within AA/AO mandate Noting,2022/06/21,Once Off,Once Off,Reported
457,Q2 2022/23,New,2022/06/30,National Research Foundation (NRF),Supply of TO-PRO 3 stain chemical,LTC Tech South Africa,"R7 134,60",Single source,Within AA/AO mandate Noting,2022/06/24,Once Off,Once Off,Reported
458,Q2 2022/23,New,2022/06/30,National Research Foundation (NRF),"Supply of chemicals (Crystal Violet Indicator,
Hydroxylamine, Potassium Iodate, Sodium Iodide,
Silica Gel, Iodine Indicator, Bromocresol Green
sodium salt indicator and Iodide Iodate solution for
1000ml) for production of Radioisotopes",Merck Life Sciences (Pty) Ltd,"R9 824,77",Single source,Within AA/AO mandate Noting,2022/06/24,Once Off,Once Off,Reported
459,Q2 2022/23,New,2022/06/30,National Research Foundation (NRF),"Calibration of an instrument (Model 2224, 43-93
Serial no 221463 PR-232020 Detector and cable
NBC)",We Nuclear,"R23 920,00",Single source,Within AA/AO mandate Noting,2022/06/27,Once Off,Once Off,Reported
460,Q2 2022/23,New,2022/06/30,National Research Foundation (NRF),"Repairs on Crane number 3 above SAIF vault in
preparation for the SAIF project",Morris Material Handling SA,"R25 317,25",Emergency,Within AA/AO mandate Noting,2022/06/24,Once Off,Once Off,Reported
461,Q2 2022/23,New,2022/06/30,National Research Foundation (NRF),Supply of chemical (AG MP-1M 100-200 Resin,Lasec,"R22 658,29",Single source,Within AA/AO mandate Noting,2022/06/27,Once Off,Once Off,Reported
462,Q2 2022/23,New,2022/06/30,National Research Foundation (NRF),"Supply and delivery of Clio Dispensing unit for the
dispensing of 18f-fdg patient doses",Comecer S.p.A,"R2 727 230,00",Single source,Within AA/AO mandate Noting,2022/06/30,Once Off,Once Off,Reported
463,Q2 2022/23,New,2022/06/30,National Research Foundation (NRF),"Procurement of Hycult Biotech lal (limulus
amebocyte lysate) chromogenic endpoint assay
(catalogue number: hit302) over a period of five (5)
years as and when required.",Whitehead Scientific (Pty) Ltd,"R2 224 862,90",Single source,Within AA/AO mandate Noting,2022/06/30,2022/07/01,2027/06/30,Reported
464,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),"Upgrade of long-travel brakes on all gantry cranes at
iThemba LABS, Faure, Western Cape",Morris Material Handling SA,"R151 099,78",Single source,Within AA/AO mandate Noting,2022/07/01,Once Off,Once Off,Reported
465,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),Supply of Nalgene Rectangular HDPE containers,Bumbene Enterprise Pty Ltd,"R94 888,80",Single source,Within AA/AO mandate Noting,2022/07/01,Once Off,Once Off,Reported
466,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),"Repair of generator at the National Research
Foundation premises in Pretoria",Buwesi Generators CC,"R56 995,55",Emergency,Within AA/AO mandate Noting,2022/07/04,Once Off,Once Off,Reported
467,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),"The emergency hiring of a standby backup generator
for a period of three weeks",Buwesi Generators CC,"R131 282,85",Emergency,Within AA/AO mandate Noting,2022/07/04,2022/07/29,2022/08/19,Reported
468,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),Emergency Diesel,JWL Motors,"R47 540,00",Emergency,Within AA/AO mandate Noting,2022/07/01,Once Off,Once Off,Reported
469,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),Emergency Diesel,Sutherlandse Landbou kooperasie BPK,"R121 400,00",Emergency,Within AA/AO mandate Noting,2022/07/06,Once Off,Once Off,Reported
470,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),Purchase of batteries for the Phakisa Vessel,Durban Auto & Marine Electrical Services,"R5 714,40",Urgent Case,Within AA/AO mandate Noting,2022/06/23,2022/06/23,2022/06/23,Reported
471,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),"Upgrade of long-travel brakes on all gantry cranes at
iThemba LABS, Faure, Western Cape",Morris Material Handling SA,"R151 099,78",Single source,Within AA/AO mandate Noting,2022/07/01,Once Off,Once Off,Reported
472,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),Supply of Nalgene Rectangular HDPE containers,Bumbene Enterprise Pty Ltd,"R94 888,80",Single source,Within AA/AO mandate Noting,2022/07/01,Once Off,Once Off,Reported
473,Q2 2022/23,New,2022/07/06,National Research Foundation (NRF),"Repair of generator at the National Research
Foundation premises in Pretoria",Buwesi Generators CC,"R56 995,55",Emergency,Within AA/AO mandate Noting,2022/07/04,Once Off,Once Off,Reported
474,Q2 2022/23,New,2022/07/08,National Research Foundation (NRF),Emergency Petrol,Kepu Trading,"R48 920,00",Emergency,Within AA/AO mandate Noting,2022/07/07,Once Off,Once Off,Reported
475,Q2 2022/23,New,2022/07/11,National Research Foundation (NRF),Burst geyser to be replaced in Main Building,HEB Maintenance,"R18 856,42",Single source,Within AA/AO mandate Noting,2022/07/07,Once Off,Once Off,Reported
476,Q2 2022/23,New,2022/08/05,National Research Foundation (NRF),Procurement of Origin Lab Pro 2022 software,Blue Stallion Technologies,"R75 382,50",Sole Source,Within AA/AO mandate Noting,2022/08/02,Once Off,Once Off,Reported
477,Q2 2022/23,New,2022/08/05,National Research Foundation (NRF),Procurement of chemical (Bio-Rad resin),Lasec,"R95 986,02",Sole Source,Within AA/AO mandate Noting,2022/08/02,Once Off,Once Off,Reported
478,Q2 2022/23,New,2022/08/05,National Research Foundation (NRF),Procurement of Vygon Tubing and connectors,Endosurgical Pty Ltd,"R60 231,25",Sole Source,Within AA/AO mandate Noting,2022/08/02,Once Off,Once Off,Reported
479,Q2 2022/23,New,2022/08/05,National Research Foundation (NRF),"Three days’ hire of 5-tonne crane truck at SAAO,
Sutherland",Tandem Cranes (Pty) Ltd,"R62 387,50",Emergency,Within AA/AO mandate Noting,2022/08/02,Once Off,Once Off,Reported
480,Q2 2022/23,New,2022/08/05,National Research Foundation (NRF),"Pilot project: Community Radio Station for Interview
Adverts for a period of 4 months",Radio Helderberg,"R54 740,00",Sole Source,Within AA/AO mandate Noting,2022/07/29,Once Off,Once Off,Reported
481,Q2 2022/23,New,2022/08/05,National Research Foundation (NRF),"Procuring of a computer aided design/manufacturing
- CAD/CAM - software license for aiding the design
and manufacturing processes with the CNC Lathe",Stillam - CNC Programming Solutions (Pty) Ltd,"R55 545,00",Sole Source,Within AA/AO mandate Noting,2022/07/28,Once Off,Once Off,Reported
482,Q2 2022/23,New,2022/08/05,National Research Foundation (NRF),"Payment of Customs duty and tax to Fedex Express
for Filters that were procured from Comecer S.P.A
(an international company)",Fedex Express,"R6 104,23",Sole Source,Within AA/AO mandate Noting,2022/07/29,Once Off,Once Off,Reported
483,Q2 2022/23,New,2022/08/15,National Research Foundation (NRF),"Subscription of annual renewal for Sabinet library
journal subscriptions",Sabinet,"R19 715,60",Sole Source,Within AA/AO mandate Noting,2022/08/10,Once Off,Once Off,Reported
484,Q2 2022/23,New,2022/08/15,National Research Foundation (NRF),Procurement of chemicals,Merck Life Sciences (Pty) Ltd,"R97 521,08",Sole Source,Within AA/AO mandate Noting,2022/08/10,Once Off,Once Off,Reported
485,Q2 2022/23,New,2022/08/15,National Research Foundation (NRF),"Procurement of journal (latest edition of European
paharmacopoeia)",Stargate Scientific,"R95 986,02",Single source,Within AA/AO mandate Noting,2022/08/12,Once Off,Once Off,Reported
486,Q2 2022/23,New,2022/08/15,National Research Foundation (NRF),Procurement of reaction vessels,Glassblowing Industries,"R28 980,00",Single source,Within AA/AO mandate Noting,2022/08/12,Once Off,Once Off,Reported
487,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"Subscription of annual renewal for LexisNexis
publications",LexisNexis,"R25 653,38",Sole Source,Within AA/AO mandate Noting,2022/08/19,Once Off,Once Off,Reported
488,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"Appointment of Tertiary Education Network
(TENET) as a sole source for the provision of high-
speed redundant National Research Network
(NReN) connectivity dedicated to the data transfer
needs for science, research, education, and
innovation to the National Research Foundation",TENET,"R19 807 694,00",Sole Source,Within AA/AO mandate Noting,2022/08/23,2022/09/01,2027/08/31,Reported
489,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"Installation of X-axis drive pulley and repair air blast
on Maximart millingmachine.",WD Hearn,"R9 547,30",Sole Source,Within AA/AO mandate Noting,2022/08/23,Once Off,Once Off,Reported
490,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"Servicing of HV15 compressor and installation of
extractor fan in compressor room.",Compare,"R23 426,10",Sole Source,Within AA/AO mandate Noting,2022/08/23,Once Off,Once Off,Reported
491,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"Procurement of chemicals and consumables for
production of Radioisotopes",Merck Life Sciences (Pty) Ltd,"R53 938,54",Sole Source,Within AA/AO mandate Noting,2022/08/18,Once Off,Once Off,Reported
492,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"Procurement of peristaltic tubing for production of
Radioisotopes.",Watson Marlow Bredel SA,"R89 136,50",Sole Source,Within AA/AO mandate Noting,2022/08/18,Once Off,Once Off,Reported
493,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),Procurement of Bio-Rad Criterion cell components,Lasec SA,"R19 789,11",Single Source,Within AA/AO mandate Noting,2022/08/22,Once Off,Once Off,Reported
494,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"2022 SASNM Masterclass conference.
Theme:“Update in Theranostics in Neuroendocrine
Tumours and Prostate Cancer”.",Africa Agenda,"R4 197,50",Single Source,Within AA/AO mandate Noting,2022/08/23,Once Off,Once Off,Reported
495,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),Repairs of power supply control board,Merck Life Sciences (Pty) Ltd,"R32 392,00",Sole Source,Within AA/AO mandate Noting,2022/08/25,Once Off,Once Off,Reported
496,Q2 2022/23,New,2022/08/29,National Research Foundation (NRF),"Procurement of chemicals and consumables for
production of Radioisotopes",Merck Life Sciences (Pty) Ltd,"R88 130,50",Sole Source,Within AA/AO mandate Noting,2022/08/25,Once Off,Once Off,Reported
497,Q2 2022/23,New,2022/09/05,National Research Foundation (NRF),Spares for Agie Charmilles Spark Eroder,Retecon (PTY) Ltd,"R9 816,50","Sole Source: These spare are needed to get the spark eroder functioning again. Currently it is out of order.
Retecon are the sole agents for the machine",Within AA/AO mandate Noting,2022/08/30,Once Off,Once Off,Reported
498,Q2 2022/23,New,2022/09/05,National Research Foundation (NRF),Fix a blocked overflowing toilet - Workshop,H.E.B Plumbing,"R10 188,31","Emergency:A toilet is overflowing and water is running on the floors. An emergency repair is required as this
is a safety concern and could damage property.",Within AA/AO mandate Noting,2022/08/31,Once Off,Once Off,Reported
499,Q2 2022/23,New,2022/09/05,National Research Foundation (NRF),"Service and repaired of one of Teledyne 600 kHz
Workhorse Acoustic Doppler Current Profiler
(ADCP) instrument",Radio Holland South Africa,"R151 434,28","Single Source: authorized distributor and reseller of Teledyne’s Marine Measurements ADCP products and
services to customers located in South Africa.",Within AA/AO mandate Noting,2022/08/30,2022/08/31,2022/12/15,Reported
500,Q2 2022/23,New,2022/09/05,National Research Foundation (NRF),"Software (Vensim DSS) and license is required for
economics modelling component for a contracted
Water Research Commission (WRC) project.","Ventana Systems, Inc.","R13 655,38","Sole Source: Ventana Systems Inc are the developers and sole worldwide distributors of the Vensim DSS
software.SAEON requires software (Vensim DSS) and license for resource economic modelling and
community engagement in the northern Maputaland Coastal Plain (MCP",Within AA/AO mandate Noting,2022/08/31,2022/09/01,2023/03/31,Reported
501,Q2 2022/23,New,2022/09/05,National Research Foundation (NRF),"Attendance of a Specialised workshop which
focuses on the Global Pharmaceutical GMP
requirements, Every Pharmaceutical company will be
inspected for compliance with GMP on a regular
basis by a range of Regulatory Authorities,
customers, and verification bodies and each of",Pharma -Training Pty Ltd,"R11 200,00",Single Source: The procurement is specialized training offered only by Pharma Training.,Within AA/AO mandate Noting,2022/08/29,Once Off,Once Off,Reported
502,Q2 2022/23,New,2022/09/05,National Research Foundation (NRF),"The Procurement off a MDM2 gene inhibitor , AMG
232 on Glioblastoma and Medulloblastoma cell lines
, both are brain cancer cell lines -one is classfied as
an adult cancer and the other paediatric cancer
types, this is needed to complete the reaserch
project in the Subatomic Physics Lab, Biocom is the",Biocom Africa,"R44 946,87","Sole Source: Procurement off a MDM2 gene inhibitor , AMG 232 on Glioblastoma and Medulloblastoma cell
lines",Within AA/AO mandate Noting,2022/08/29,Once Off,Once Off,Reported
503,Q2 2022/23,New,2022/09/12,National Research Foundation (NRF),Repair of burst pipe in Admin Building,H.E.B Plumbing,"R4 487,67","Emergency: The pipe just outside the Admin building burst. Emergency assistance was needed from a
plumber to trace the leak and to resolve immediately.",Within AA/AO mandate Noting,2022/09/05,Once Off,Once Off,Reported
504,Q2 2022/23,New,2022/09/12,National Research Foundation (NRF),Call out- Fix a blocked overflowing toilet - Workshop,H.E.B Plumbing,"R1 426,00",Emergency: An emergency repair of toilet overflowing and water running on the floors.,Within AA/AO mandate Noting,2022/09/05,Once Off,Once Off,Reported
505,Q2 2022/23,New,2022/09/12,National Research Foundation (NRF),"Annual subscription to serial publications for the
NRF Corporate Legal Office",Juta & Company,"R34 863,00","Sole Supplier: Juta & Company are the owners and authorised distributors of the Intellectual Property rights
of the serial publications",Within AA/AO mandate Noting,2022/09/12,2022/10/01,2023/09/30,Reported
506,Q2 2022/23,new,2022/07/20,National Treasury,"Request to deviate from normal procurement
processes to procure training from the Institute of
Directors in the Southern Africa as a sole provider
for Steven Botsime",IODSA,Not Provided,Sole supplier,Within AA/AO,2022/06/23,Not indicated,Not indicated,Reported
507,Q2 2022/23,New,2022/08/05,National Treasury,Once off shipping services,AGS Worldwide Movers,"R417 650,00",Urgency and limited time,Within AA/AO,28/07/2022,Not indicated,Not indicated,Reported
508,Q2 2022/23,New,2022/08/05,National Treasury,Advanced legislative drafting course,UCT Law School,"R10 995,00",Single Source,Within AA/AO,28/07/2022,2022/01/08,30/11/2022,Reported
509,Q2 2022/23,New,2022/08/30,National Treasury,"Approval to deviate from normal procurement
procedures and appoint a service provider to
provide BMC software license renewal and ad hoc
support for a period of three (3) years",Blue Turtle Technologies,"R841 911,76",Only 2 service providers were able to respond,Within AA/AO,2022/08/01,Not indicated,Not indicated,Reported
510,Q2 2022/23,New,2022/08/30,National Treasury,"Deviationn from normal procurement processes to
procure a sole service provider for developing a
human resources management (HRM)",Hatching Consulting,"R39 996,00",Sole Service Provider,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
511,Q2 2022/23,New,2022/08/30,National Treasury,"Request to deviate from normal procurement
processes to procure trainings from a sole service
provider",IODSA,"R47 772,58",Sole Service Provider,Within AA/AO,2022/08/05,Not indicated,Not indicated,Reported
512,Q2 2022/23,New,2022/08/30,National Treasury,"Request to deviate from normal procurement
processes to procure trainings from a sole service
provider",IODSA,"R47 772,58",Sole Service Provider,Within AA/AO,2022/08/05,Not indicated,Not indicated,Reported
513,Q2 2022/23,New,2022/08/30,National Treasury,"Request to deviate from normal procurment
processes to procure a sole service provider for the
Hybrid Conference",ISACA,"R14 737,50",Sole Service Provider,Within AA/AO,2022/08/12,Not indicated,Not indicated,Reported
514,Q2 2022/23,New,2022/08/30,National Treasury,"Request from normal procurement processes to
appoint a service provider to repair the public
address system at National Treasury",Piano Magic,"R126 787,50",Only 2 service providers were able to respond,Within AA/AO,2022/08/19,Not indicated,Not indicated,Reported
515,Q2 2022/23,New,2022/08/30,National Treasury,"Request to deviate from normal procurement
processes to procure value added tax training from a
sole service provider",Tax Vaculty,"R4 980,00",Sole Service Provider,Within AA/AO,2022/08/24,Not indicated,Not indicated,Reported
516,Q2 2022/23,New,2022/08/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",2021/2022 AG Annual Fees,Auditor-General of South Africa,"R13 268 201,74",Sole Source,Noting,2022/08/02,2022/08/02,2022/08/03,Reported
517,Q2 2022/23,New,2022/08/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)","Eskom main account, Wolvedansdam & Street
Lights for July to September 2022",Eskom Holdings,"R38 261 779,18",Sole Source,Noting,2022/08/02,2022/08/03,2022/09/30,Reported
518,Q2 2022/23,New,2022/08/26,Public Service Commission,"Appointment of a service provider to conduct an
impact assessment of the work of PSC",Human Sciences Research Council,"R1 497 554,11","the PSC has unsuccessfully appraoched 21 prospective service providers from a panel of suppliers utilised
by DPME which also very often makes use of suppliers in the research space",Within AA/AO,2022/07/14,Not indicated,Not indicated,Reported
519,Q2 2022/23,New,2022/08/08,Rand Water,"Urgent need to repair and restore the availability of
the infrastructure",LH Marthinusen,"R10 024 119,90",Emergency Source,Noting,2022/06/30,Not Stated,Not Stated,Reported
520,Q2 2022/23,New,2022/08/08,Rand Water,"Urgent need to repair and restore the availability of
the infrastructure",Delba Electrical CO. 1980 (Pty) Ltd,"R5 526 349,15",Emergency Source,Noting,2022/06/30,Not Stated,Not Stated,Reported
