5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
87,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"1 DMW 005 PR, Unit 1 Gantry crane Refurbishment - Koeberg PS",ETIS Cranes (Pty) Ltd,R8 000 000.00,"The crabs (1/2 DMW 005 PR) are interchangeable and thus provide
redundancy should one fail, currently there is only one operational gantry crab,
with the amount of rigging taking place in Outage 126, and the Unit 1 gantry
crab availability being one of the key requirements for the SGR project, there is
a need to timeously refurbish 1 DMW 005 PR to prevent any costly projects
delays. The unit 2 gantry crane is also required to support with lifting of the
RRM ducting in support of the current SGR project. Furthermore, recent
failures on 2 DMW 005 PR crab, raised concerns about its reliability to last the
duration of Outage 126. Considering the risks mentioned above and the back-
to-back nature of Outage 126 and 226, where the defective crab will be
required. It is important to start the refurbishment as soon as possible.",Noting,2023/04/18,2023/04/21,2023/12/30,Reported
88,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Hire security officers Medupi PS,Prime African Security,R4 192 422.54,"On 2023/05/12 an urgent situation arouse at Medupi eskom residential houses
and camps. The situation arouse as a result of residential security contract
came to an end and new unable to be placed as six suppliers which made it
through technical evaluation failed to meet technical criteria.The tender was re-
advertised and its on SHEQ evaluation stage.",Noting,2023/05/16,2023/05/17,2023/05/31,Reported
89,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Supply of CW Pump Spares - Duvha PS,,,,Noting,2023/05/12,2023/05/12,Once-off order,Reported
90,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Recovery and Restoration of outside plant - Kendal PS,Pro Cover Trading Enterprise,R7 470 120.00,"Immediate Recovery and restoration of the outside plant is needed for
reliability and availability of Kendal Power Station. This shall remove the
potential risk of further failure and allow regular plant maintenance to proceed
from October 2023 onwards. This shall reinstate plant redundancy to enable
further day to day maintenance that is needed to satisfy operational
requirements after the 5 months of recovery is completed. Panel Sourcing is
not possible as advised by HR due to the Org structure not having provision for
a “Short term recovery and restoration team”. Procover has a track record
showing previous experience with such work at Kendal.",Noting,2023/05/18,2023/05/18,2023/10/30,Reported
91,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Repair Gearbox:970/32.8 RPM;500 kw;pf mi - Kriel PS,David Brown Gear Industries,R9 144 440.78,"Units 1-3 Mills were designed to run on softer coal, which is underground coal
but through the years coal supply for underground has been running low,
which pushed the organisation to run with open cast coal. This has resulted in
more failures for 10.8E gearboxes that were not designed to grid for this coal.
The frequent failure of these gearboxes has resulted to a station not having any
standby Mill due to gearboxes that are not available. It must be noted that the
repair of these gearboxes can take up to 6 months.",Noting,2023/05/18,2023/05/18,2023/06/18,Reported
92,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"Repairs and Upgrade of the Fire System and related infrastructure, and the
replacement and upgrade of the Building Management System (BMS)",Enviroware Construction,R9 340 232.04,"On 28 February 2023 an urgent situation arose at Simmerpan Data Energy
Centre (DEC). The situation arose as a result of the Data Energy Centre
Emergency Recovery Project that was declared by Transmission GE on the 15
March 2022. During investigation of the faulty systems and equipment it was
then deemed necessary to further investigate the Fire System installation in
July 2022 as what was thought to be minor repairs of the fire detection
became apparent that the problem was more than what was anticipated. An
instruction was given to the expect the Fire System Inspection Authority (FSIB)
to carry
out a full inspection in the DEC, the assessment was conducted in accordance
with SANS 10139: 2012 - Fire detection systems for buildings. The purpose of
the inspection was to identify if the installed system complies and still meet
the latest South African Codes of Practice. The overall outcome was that the
Data Energy Centre (DEC) – LV Room, Computer Rooms, Battery Rooms, Fire
Detection and Basement did not comply.",Noting,2023/05/11,Urgent once off order,Urgent once off order,Reported
93,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Oil burner spares - Medupi PS,Thermotech Engineering,R9 843 523.40,"On 3 February 2023 an urgent situation arose at Medupi Power Station . The
sistuation arose as the result of FFFR committe rejecting the prosoposal of
compiling a procedure to simulate the ignitor feedback plug and bridging of
cables on the junction box for the UV scanner to be operational while awaiting
critical spares delivery through normal procurement process since it is the
violation to the regulations.",Noting,2023/05/19,2023/05/19,2023/06/30,Reported
94,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Grade 3 Fuel Oils - Kendal PS,FFS Refiners,R25 560 000.00,"Kendal Mills and Pinnions are out on service therefore the station is
temporarily running on fuel oil instead of coal therefore the fuel oils is requitrd
urgently.",Noting,2023/05/24,2023/05/24,Once Off,Reported
95,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"Manufacture and installation of Cation dilution and Mixed bed dilution
pipelines - Kendal PS",Aquaplan,R969 196.00,"The cation and mixed bed dilution lines on the water plant are in a very bad
state and new leaks are reported everyday. The original pipelines were rubber
lined but over time have deteriorate and are replaced everytime. There is
currently maintenance mode at the water treatment plant and the leaking pipes
compromises the availability of the plant.",Noting,2023/05/24,2023/05/24,Once Off,Reported
96,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Urgent Supply and Delivery of South Grade 1 (Catlight) - Duvha PS,FFS Refiners,R4 623 000.00,"On 2023/05/23 an urgent situation arose at Duvha Power Station (South units).
The situation arose as a result of: Fuel oil tank running low due to units
experiencing challenges with milling plant (Unit 1 and U2). Fuel oil is the daily
operational commodity that is required for compliance with the FFFR
Regulations during units light up and shutdown, mill changes, combustion
support on low loads and for emergencies (Unit capabilities, low coal bunker
levels due to coal shortages and wet coal, BFPT & EFP’s not available). low
coal bunker levels due to coal shortages and wet coal, BFPT & EFP’s not
available). The South fuel oil tank was depleted due to both units (Units 1 and
2) running on 3 mills since yesterday. The issue started when we received wet
coal, the units were supported with oil burners in order stabilise the
combustion and this has resultant on high fuel oil consumption. The situation
persisted to the point where we lost the two running units at South (units1 and
2). The above said challenges has depleted the South fuel oil tank to the
critical level where we will be challenged to return these two units and at the
state where the fuel oil pumps will suck sludge and causing the serious
damage to the other parts of the plant. In order to avert an undesirable
situation, extra fuel oil 10 loads were requested as per the daily activities from
the National contract (4600071904, 4600071906 and 4600071906) through the
Contract’s Manager, unfortunately our request could not be accommodated
due to high fuel oil usage through the generation fleet and due to restricted
number of daily loads allocation. For today the station was allocated 6 loads.
The urgent procurement process is to order extra fuel oil tankers outside the
fuel oil contract in order to augment the fuel oil tank. This will ensure that there
is sufficient fuel oil to return the two units.",Noting,2023/05/24,2023/05/24,Once Off,Reported
97,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Testing of the HEMWEG Gen stator - Medupi PS,"General Electric Steam Power
(Pty) Ltd","Testing of the HEMWEG generator stator in Netherlands to determine the
R38 752 480.00
electrical and mechanical integrity of the unit.",,Noting,2023/05/19,2023/05/22,2023/08/31,Reported
98,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"For the supply and delivery of various new turbine centreline journal bearings
and tilting pad bearings for No.2, No. 5 & No.12 positions at Duvha Power
Station",GB Bearings,"G B Bearings (Pty) Ltd was approached as they are the OEM for these new
R1 269 118.52 turbine centreline journal bearings and tilting pad bearings and it forms part of
Single Source.",,Noting,2023/05/22,2023/05/22,2023/07/26,Reported
99,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"Design verification, Detailed Engineering,
Manufacturing, Testing, Supply, Delivery in
good order to site, Off-loading, Installation,
Commissioning and Plant Optimisation of two
sets (2) Hydrogen Coolers and Generator
Rotors for Lethabo Power Station.","GE Steam Power Services (Pty)
Ltd",R421 759 952.03,Original Equipment Manufacturer,Noting,2023/05/05,2023/05/30,2027/05/30,Reported
100,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,"Removal of existing damaged equipment on bulk fuel oil south plants (Units
1,2&3). Inspect and determine the total number of burnt cables. Supply,
pull, test and terminate he concerned Electrical cables & C&I UVG Cables
from junction boxes (JB) to the control system(ABB DCS.) Commission –
Direction Check motor with each power cable powered from normal point of
supply. Plant walks and verification. Submits a service report after
completion of work.
Matla PS",Eskom Rotek Indutries,R10 281 697.44,"Burnt and cut off cables are required to be back in service to assist in the safe
return of Unit 6 by 04 May 2023. The invitation to competitive bids has been
done. It is not due to improper planning? The urgent procurement process is
employed being triggered by an act of fire that damaged Unit 6, 16m level and
the cables in question has been affected and go damaged as a result. These
efforts are solely to expedite the safe and swift return of unit 6 back in service
to assist the grid with much needed MWs. As it stands Matla PS Unit 6 being
off during this period has a direct and huge bearing to the current loadshedding
status.",Noting,2023/05/26,2023/05/26,2023/08/26,Reported
101,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Refurbishment of Unit 5&6 Mill Grinding Rollers. Dhuvha,Brimis Engineering,R4 250 000.00,"On 30/03/2023 an urgent situation arose at unit 6B Mill at Duvha Power
Station. The situation arose as a result of 6B Mill Grinding Roller Cease.",Noting,2023/05/29,2023/06/01,2023/06/30,Reported
102,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Condition monitoring service @ Tutuka P/S for 12 Months,"Microtech Electrical & Mechanical
Engineering",R2 862 062.92,"On 17 April 2023 an urgent situation arose at Tutuka Power station.The
situation arose as a result of Tutuka condition monitoring long term contract
expired on the 30th of November 2021 and was extended by 8 months and it
ended on the 31st of July 2022 and Yellotec has been the service provider for
the period. We have been in negotiations with Yellotec about the new long
term and could not agree on terms due to increased costs amounting to
approximately 75% compared to their previous contract. The supplier has flatly
refused to heed our request to a reasonable discount, and they not opened to
further negotiations.",Noting,2023/05/08,2023/06/01,2024/05/31,Reported
103,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,"Supply,Pulling,Terminate & commissioning of UVG 16 (32 core 0.5mm) and
UVG02 (4 core 0.5mm) cables on Unit 2 ACC fans as detailed below:
Medupi",MJMP83,R872 300.00,"Air cooled condenser fans is critical as these fans are used to cool the
extraction steam from the turbine to condensate water that is used to maintain
water steam cycle efficiency. These fans plays a major role in maintaining the
vacuum on the turbine. if the ACC fans are not looked at it may lead to the
turbine tripping on vacuum which ultimately can contribute to load losses or
load shedding in the country.",Noting,2023/05/29,2023.06.02,2023/06/15,Reported
104,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Hydraulic Fluid:205L,BP Southern Africa,R924 000.00,SSJF for BP Lubricants/grease,Noting,2023/05/30,2023/06/01,2023/06/30,Reported
