row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
381,Q3 2022/23,2022/12/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Annual NPEA subscription - regulatory requirement,National Petroleum Employers,"R 60 000,00",Sole Source,2022/11/30,2022/11/30,2022/12/31,,Noting,New
382,Q3 2022/23,2022/12/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Pnet e-recruitment (new agreement),P-Net,"R 195 798,00",Sole Source,2022/11/18,2022/11/18,2023/11/17,,Noting,New
383,Q3 2022/23,2022/12/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Raw water services,Breede-Gouritz Catchment,"R 183 439,98",Sole Source,2022/11/24,2022/11/24,2022/12/02,,Noting,New
384,Q3 2022/23,2022/12/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Cylinder rental,African Oxygen,"R 200 000,00",Sole Source,2022/11/18,2022/11/18,2022/11/18,,Noting,New
385,Q3 2022/23,2022/11/15,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Elga grade1 water system,LABOTEC,"R 52 877,00",Sole Source,2022/11/01,2022/11/01,2023/01/27,,Noting,New
386,Q3 2022/23,2022/11/15,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Calibration of lab balances,MICROSEP,"R 34 750,00",Sole Source,2022/11/02,2022/11/02,2023/01/31,,Noting,New
387,Q3 2022/23,2022/11/15,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Eskom grid connection,ESKOM HOLDINGS,"R 100 521,74",Sole Source,2022/11/07,2022/11/07,2022/11/30,,Noting,New
388,Q3 2022/23,2022/11/15,"Petroleum, Oil and Ga (Ps e C tro or Sp Aor )ation of South Africa R",ental of earth moving machinery - compactor for landf,ill XMOOR TRANSPORT,"R 984 000,00",Emergency procurement,2022/11/14,2022/11/15,2022/03/11,,Noting,New
389,Q3 2022/23,2022/10/17,Ports Regulator of South Africa,"DMS Data subscription for a period of twelve (12)
months",Morningstar Research,"R 80 500,00",sole source,2022/07/26,2022/09/01,2023/08/31,,Noting,New
390,Q3 2022/23,2022/10/20,Railway Safety Regulator (RSR),Legal services,Phukubje Pierce Masithela Attorneys Inc.,"R 500 000,00","Appointment of Phukubje Pierce Masithela Attorneys through emergency procurement for the purposes of
initiating legal action against the service providers to reinstate the cancelled services.",2022/10/07,Not stated,Not stated,,Noting,New
391,Q3 2022/23,2022/10/17,Rand Water,"Design, manufacture and install Cat Ladders @ 2B
filter House",Coasttech Projects Pty Ltd,"R 1 725 000,00",Emergency,2022/09/16,Not stated,Not stated,,Noting,New
392,Q3 2022/23,2022/10/17,Rand Water,"Onsite calibration and services for the Testo
temperature control systems for the laboratories",Testo South Africa,"R 596 688,43",Sole source,2022/09/19,Not stated,Not stated,,Noting,New
393,Q3 2022/23,2022/10/17,Rand Water,"Onsite service and repairs of the microtox
instruments for the hydrobiology laboratory at
analytical services",Analysers on line CC,"R 80 086,00",Sole source,2022/09/12,Not stated,Not stated,,Noting,New
394,Q3 2022/23,2022/10/17,Rand Water,"Overhaul and commission 2x Woma 1502
Conversion set machine at ZB",Xilo Technology Pty Ltd,"R 793 543,65",Emergency,2022/09/16,Not stated,Not stated,,Noting,New
395,Q3 2022/23,2022/10/17,Rand Water,"Quarterly service and calibration of swam online
analyzers",Swan Instrumentation SA,"R 1 086 133,60",Sole source,2022/09/23,Not stated,Not stated,,Noting,New
396,Q3 2022/23,2022/10/17,Rand Water,"Supply and delivery of Gas Chromatography
instrumentation spares and consumables (GC 5973
GC 5975, GC ECD, GC FID)",Chemetrix Export Pty Ltd,"R 672 980,75",Sole source,2022/09/19,Not stated,Not stated,,Noting,New
397,Q3 2022/23,2022/10/17,Rand Water,"Supply and delivery of the equipment described in
document dynagage",Campbell Scientific Pty Ltd,"R 617 288,74",Sole source,2022/09/12,Not stated,Not stated,,Noting,New
398,Q3 2022/23,2022/10/17,Rand Water,"Supply of Fapas Leap PTS Samples four runs for
2022FWPA1-DRW1 & FWPA2-DRW1: RUN
DWP0135 & DWP0235, RUN DWP0138 &
DWP0238, RUN DWP0140 & DWP0240 and RUN
DWP0142 & DWP0242 AND Four Runs for 2023
at analytical services microbiology laboratory",AEC Amersham,"R 30 573,90",Sole source,2022/09/26,Not stated,Not stated,,Noting,New
399,Q3 2022/23,2022/10/17,Rand Water,"Supply of PHE- Food and water microbiology
external quality assessment scheme: drinking
water, bottled water and recreational water.","Laboratory Specialities Pty Ltd trading as
Thermofisher Scientific","R 555 168,59",Sole source,2022/09/21,Not stated,Not stated,,Noting,New
400,Q3 2022/23,2022/10/18,Rand Water,"Urgent need to repair and restore the availability of
the infrastructure",LH Marthinusen,"R 10 024 119,90",Emergency,2022/07/29,Not Stated,Not Stated,,Noting,New
401,Q3 2022/23,2022/10/17,Rand Water,Yokogawa calibration,Yokogawa South Africa Pty Ltd,"R 793 543,65",Sole source,2022/09/23,Not stated,Not stated,,Noting,New
402,Q3 2022/23,2022/11/01,Small Enterprise Development Agency (SEDA),Advertisement: New access Point,Media 24,"R 31 464,00","Service provider is the most widely regional distributed print publication in EC that can reach the targeted
market",2022/09/15,2022/09/20,2022/09/20,,Within AA/AO mandate Noting,New
403,Q3 2022/23,2022/11/01,Small Enterprise Development Agency (SEDA),Advertisement: Outreach Partners,Die Platterlander,"R 6 429,00",Service provider is the most widely local print area publication that can reach the targeted market.,2022/09/19,2022/09/24,2022/09/24,,Within AA/AO mandate Noting,New
404,Q3 2022/23,2022/11/01,Small Enterprise Development Agency (SEDA),Advertisement: Outreach Partners,DFA,"R 9 900,00",Service provider is the most widely local print area publication that can reach the targeted market.,2022/09/19,2022/09/24,2022/09/24,,Within AA/AO mandate Noting,New
405,Q3 2022/23,2022/11/08,Small Enterprise Development Agency (SEDA),"Annual Stakeholder Forum Live Radio Interviews
(Community Radio Stations)",Ugu Broadcasting Services,"R 89 500,00",The service provider is at the vicinity and within the target audience as the ASF will be held in Port Shepstone,2022/10/25,2022/10/27,2022/10/28,,Within AA/AO mandate Noting,New
406,Q3 2022/23,2022/11/08,Small Enterprise Development Agency (SEDA),"Annual Stakeholder Forum Live Radio Interviews
(National Radio Station)",Radio Igagasi 99.5,"R 159 147,00",The service provider is at the vicinity and within the target audience as the ASF will be held in Port Shepstone,2022/10/25,2022/10/27,2022/10/28,,Within AA/AO mandate Noting,New
407,Q3 2022/23,2022/11/01,Small Enterprise Development Agency (SEDA),"Exhibition Stands: Menswear (29 September - 01
October 2022)",Mense Frankfurth South Africa,"R 180 000,00",Service provider the sole organiser of the event.,2022/09/13,2022/09/29,2022/10/01,,Within AA/AO mandate Noting,New
408,Q3 2022/23,2022/11/01,Small Enterprise Development Agency (SEDA),Liasa Conference (23 -24 September 2022),Library and Information Association of SA,"R 5 300,00",Library and Information Association of SA is the sole organiser of the event.,2022/09/22,2022/10/03,2022/10/05,,Within AA/AO mandate Noting,New
409,Q3 2022/23,2022/11/01,Small Enterprise Development Agency (SEDA),"Seda officials and clients attending Gulf
International Technology Expo in Dubai (10 -14
October 2022)",Cadivision t/a Catalyze,"R 675 980,00",Cadivision t/a Catalyze is the sole organiser of the event,2022/09/29,2022/10/01,2022/10/14,,Within AA/AO mandate Noting,New
410,Q3 2022/23,2022/12/15,South African Forestry Company Limited,"Forensic expert to serve as a witness in a
disciplinary",Peyper Forensics,"R 2 700,00",Procurement by other means,2022/04/14,2022/04/14,2022/04/25,,Noting,New
411,Q3 2022/23,2022/12/02,South African Forestry Company Limited,"Renewal of the annual licence for the ECAPS
software",eCaps,"R 3 08 160,00",Procurement by other means,2022/11/17,R0.00,R0.00,,Noting,New
412,Q3 2022/23,2022/12/15,South African Forestry Company Limited,"WAN maintenance and support for a period of
three months",Mint Fresh 97 T/A ICTs,"R 1 295 910,00",Procurement by other means,2022/05/13,2022/06/01,2027/05/30,,Noting,New
413,Q3 2022/23,2022/11/17,"South African Health Products Regulatory Authority
(SAPHRA)",Employee Training,London School of Hygiene and Tropical Medicine,"R 40 025,25",Training aligned with individual development needs,2022/11/17,Once off,Once off,,Noting,New
414,Q3 2022/23,2022/09/16,"South African Health Products Regulatory Authority
(SAPHRA)","Software subsription for EURS and EURS next
platform",Extedo,"R 2 678,05",Sole supplier,2022/09/06,2022/09/01,2023/03/31,,Noting,New
415,Q3 2022/23,2022/10/12,South African National Accreditation System,MSQF online,National Laboratory Association,"R 1 2 500,00",Procurement by other means,2022/09/30,Not stated,2022/10/17,,Noting,New
416,Q3 2022/23,2022/10/12,South African National Accreditation System,"Presentation and exhibition at 2022 Postgraduate
research and innovation symposium",University of Kwazulu-Natal,"R 5 000,00",Procurement by other means,2022/10/07,Not stated,2022/10/17,,Noting,New
417,Q3 2022/23,2022/10/11,South African National Biodiversity Institute (SANBI),Cheetah SNP Chips,LTC,"R 449 370,55",Sole Supplier,2022/09/28,Not stated,Not stated,,Within AA/AO mandate Noting,New
418,Q3 2022/23,2022/10/11,South African National Biodiversity Institute (SANBI),Conference,Tiragelo Business,"R 21 564,00",Sole Supplier,2022/09/22,Not stated,Not stated,,Within AA/AO mandate Noting,New
419,Q3 2022/23,2022/10/11,South African National Biodiversity Institute (SANBI),Copy Stands,Singer Photographic Services,"R 61 870,00",Sole Supplier,2022/09/28,Not stated,Not stated,,Within AA/AO mandate Noting,New
420,Q3 2022/23,2022/10/11,South African National Biodiversity Institute (SANBI),Medication,ANB Vet,"R 5 326,50",Emergency,2022/09/22,Not stated,Not stated,,Within AA/AO mandate Noting,New
421,Q3 2022/23,2022/10/11,South African National Biodiversity Institute (SANBI),Membership fees,Astemi,"R 550,00",Sole Supplier,2022/09/22,Not stated,Not stated,,Within AA/AO mandate Noting,New
422,Q3 2022/23,2022/10/11,South African National Biodiversity Institute (SANBI),Repair burst geyser,Mr Plumber,"R 11 924,18",Emergency,2022/09/22,Not stated,Not stated,,Within AA/AO mandate Noting,New
423,Q3 2022/23,2022/10/11,South African National Biodiversity Institute (SANBI),Various Courses,Iodsa,"R 150 000,00",Single source,2022/09/22,Not stated,Not stated,,Within AA/AO mandate Noting,New
424,Q3 2022/23,2022/09/28,"South African National Energy Development
Institute (SANEDI)",Microsoft Dynamics upgrade to D365,Decision Inc.,R -,"SANEDI Microsoft Dynamics was developed by Decision Inc and some of the modules on the systems are
s po role cm urly mow enne td b my t lahe s su p fip nalie nr c. iT alh te es me m lao ted su ,l e Bs a Er e a os ufo lell o aw nds : B Ra Cnk Iin Sg M mo od du ule le; .P Ir fo Sc Aur Ne Em De In gt ow eo sr k ofl uo tw os n;
e t e p te ; p E m d G V
tender and secure another supplier, all the content functionality will be lost.",2022/09/22,2022/11/01,2023/04/30,,Noting,New
425,Q3 2022/23,2022/09/16,South African National Space Agency (SANSA),"Institutional Review of the South African National
Space Agency","National Research
Foundation (NRF)","R 686 940,00",Single Source,2021/05/24,2021/06/24,2022/01/31,,Within AA/AO mandate Noting,New
426,Q3 2022/23,2022/09/16,South African National Space Agency (SANSA),"Maintenance and support renewal of ERDAS
software",Geo-data Design,"R 401 310,62",Sole Supplier,2022/07/04,2022/07/05,2024/07/04,,Within AA/AO mandate Noting,New
427,Q3 2022/23,2022/09/16,South African National Space Agency (SANSA),"Maintenance and support renewal of
ArcGIS and ENVI software",ESRI South Africa,"R 417 531,19",Sole Supplier,2022/08/18,2022/08/19,2023/08/18,,Within AA/AO mandate Noting,New
428,Q3 2022/23,2022/09/16,South African National Space Agency (SANSA),Repairs to Spectrometer,Southern Mapping,"R 350 000,00",Sole Supplier,2022/08/15,2022/08/16,2022/09/30,,Within AA/AO mandate Noting,New
429,Q3 2022/23,2022/12/15,South African National Space Agency (SANSA),Repair of MV Cables and joint kits,DCI Projects,"R 107 245,73","The existing cable blew up leaving the site without redundant power. This needs to fixed urgently to comply
with the contractual obligations to customers.This is a critical repair of the secondary cable supplying the
site.",2022/12/07,2022/12/07,2022/12/07,,Within AA/AO mandate Noting,New
430,Q3 2022/23,2022/11/14,South African Post Office Limited,Clearing of backlog,Skynet,"R 5 000 000,00","Service providers to assist with clearing of the backlog of mail, parcels and delivery of drivers licenses
because of shortage of vehicles",2022/06/23,2022/07/01,2022/12/31,,Within AA/AO,New
431,Q3 2022/23,2022/11/14,South African Post Office Limited,EMC OEM Support on back up environment,Dell / EMC,"R 1 500 000,00","The restoring of the faulty storage array can only be performed by the OEM through proprietary scripts and
tools",2022/04/21,Once-off,Once-off,,Within AA/AO,New
432,Q3 2022/23,2022/11/14,South African Post Office Limited,Hybrid Mail Printers,Canon,"R 2 073 135,60","Hybrid Mail require maintenance and consumables for the OCE printers acquired previously for a period of
6 months",2022/07/11,2022/07/01,2022/12/31,,Within AA/AO,New
433,Q3 2022/23,2022/11/14,South African Post Office Limited,Hybrid Mail Printers,Batsumi Enterprises,"R 2 871 630,30","Hybrid Mail require maintenance and consumables for the mail processing machines acquired previously for
a period of 12 months",2022/07/11,2022/07/01,2023/06/30,,Within AA/AO,New
434,Q3 2022/23,2022/11/14,South African Post Office Limited,Post Retirement Medical Aid Buy Out,Norton Rose Fullbright,"R 7 197 000,00","The supplier has the necessary skills and expertise in PRMA matters with a proven track record with
various SOE's and private sector and has the competency and experience to successfully complete the
project in the shortest possible time",2022/09/09,2022/10/01,2022/03/31,,Within AA/AO,New
435,Q3 2022/23,2022/11/14,South African Post Office Limited,"Supply of Photocopy paper - for a period of 6
months",Leitam Business Solutions,"R 4 752 000,00","SAPO appointed a major distributor of paper to supply SAPO with photocopy paper due to the shortage of
photocopy paper as it will assist SAPO with to generate much needed revenue",2022/10/27,2022/10/27,2023/04/26,,Within AA/AO,New
436,Q3 2022/23,2022/11/14,South African Post Office Limited,Surface mail,Nexlog,"R 2 000 000,00",Supplier to handle the clearing of the back log and the forwarding of all international surface mail,2022/07/07,2022/07/07,2022/11/06,,Within AA/AO,New
437,Q3 2022/23,2022/11/14,South African Post Office Limited,"Third Party Payment System, VMS, DTT 2nd Level
Support",FUSE IT,"R 8 83 872,00","The supplier developed the systems and has therefore expert knowledge to stabilise and support the system
for a period of six (6) months",2022/05/24,2022/05/25,2022/11/24,,Within AA/AO,New
438,Q3 2022/23,2022/12/05,South African Qualifications Authority (SAQA),amendment to SAQA's organisational structure,Chrom Consulting,"R 56 005,06",No provided,11/11/2022,11/11/2022,31/12/2022,,Noting,New
439,Q3 2022/23,2022/10/19,South African Revenue Service,Alberton Compressor repairs,Bitzer Kuhlmaschinenbau (S.A) (Pty) Ltd,"R 990 000,00",To increase the DHA footprint and to reduce the long queus in other busy offices,2022/07/10,17/10/2022,16/10/2024,,Within AA/AO,New
440,Q3 2022/23,2022/10/21,South African Revenue Service,"Deviation from the normal procurement processes
i.t.o. Treasury Regulation 16A 6.4 for attendance of
the Big Data and Business Analytics Conference by
eight (8) delegates from various divisions.",Knowledge Integration Web (KIW),"R 55 994,40",Impracticality,2022/07/10,2022/12/10,13/10/2022,,Within AA/AO,New
441,Q3 2022/23,2022/10/21,South African Revenue Service,"Deviation from the normal procurement processes
in terms of National Treasury Regulations 16A.6.4,
read together with National Treasury SCM
instruction note 03 of 2021/2022 for subscription to
Sabinet – Online and World Share Inter Library
Loan.",SABINET,"R 892 561,36",Sole Provider,28/09/2022,2022/01/11,30/10/2025,,Within AA/AO,New
442,Q3 2022/23,2022/10/21,South African Revenue Service,Emergency deviation for toilet,Total Smart Solutions (PTY)LTD,"R 30 000,00","Emergency hiring of one flushable toilet including delivery and removal once service is completed. Servicing
and waste removal after every two days",18/10/2022,Once Off,Once Off,,Within AA/AO,New
443,Q3 2022/23,2022/09/16,South African Revenue Service,"EX 016/2022: Attendance of IIA SA Annual
Conference for a period of three (3) years",Institute of Internal Audit SA,"R 106 140,00",Sole provider,13/09/2022,2022/09/30,2024/11/30,,Within AA/AO,New
444,Q3 2022/23,2022/09/20,South African Revenue Service,Money Smart week SA Campaign radio interview,SABC,"R 1 041 120,00",Single source media house,16/08/2022,Not stated,Not stated,,Within AA/AO,New
445,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",AFRIZAN PEOPLE INTELLIGENCE (pty) ltd,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
446,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",AMASIKO GROUP,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
447,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Blue Desk recuitment,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
448,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Carlsle human capital,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
449,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Ebus-Tech Consulting,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
450,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",EOH Mthombo,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
451,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Fullstream Business Serivces,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
452,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Global Robotics,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
453,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",JMR Software,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
454,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Khomeliwa Consulting,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
455,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Kwena People,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
456,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",MECS Growth,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
457,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Milton Resourcing,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
458,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Paracon SA,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
459,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Parvana Strategic Sourcing,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
460,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Praesignis,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
461,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Pro development,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
462,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Recru-IT Recruitement,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
463,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Rsourgenix,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
464,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Summit Africa Consulting,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
465,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Tamdeco Appointments,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
466,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Warrior Talent Holdings,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
467,Q3 2022/23,2022/09/23,South African Revenue Service,"Participation in the contract of another state organ -
Interfront (Recruitment)",Tipp Focus holdings,"R 205 800,26","Panel of Recruitment Service Providers (RFT-7-2019/20) appointed by Interfront SOC Ltd based on
National Treasury Regulation 16A6.6",2022/09/01,2022/12/09,31/03/2023,,Within AA/AO,New
468,Q3 2022/23,2022/11/25,South African Revenue Service,Pop Ups at various malls/shopping centres,Various Suppliers,"R 2 000 000,00",The set-up of pop ups at various sites to render taxpayer services for a period of five (5) years.,2022/11/22,2022/11/22,2027/11/21,,Within AA/AO,New
469,Q3 2022/23,2022/12/14,South African Revenue Service,"recommends the deviation from the normal
procurement processes terms of Treasury
Regulation 16A 6.4 for the procurement of My-
LexisNexis Online Legal Research tool for a period
of 36 months (01 December 2022 to 30 November
2023).",LexisNexis (Pty) Ltd,"R 16 320 000,00",Sole Provider,2022/12/12,2022/01/12,30/11/2023,,Within AA/AO,New
470,Q3 2022/23,2022/11/25,South African Revenue Service,Relocation of Uitenhage (New Office - Kariega),Corkwood Square (Pty) Ltd,"R 9 565 265,54","Provision of alternative office space in Kariega for a period of 5 years commencing 01 February 2023 to
31 January 2028",2022/11/22,2023/02/01,2028/01/31,,Within AA/AO,New
471,Q3 2022/23,2022/09/20,South African Revenue Service,Risk Advisory subscription services,Gartner SA,"R 3 058 469,00",Single source license,18/08/2022,Not stated,Not stated,,Within AA/AO,New
472,Q3 2022/23,2022/10/21,South African Social Security Agency,Govtech Conference,SETA,"R 4 5 000,00",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
473,Q3 2022/23,2022/10/21,South African Social Security Agency,Manage Engine Adself Service Plus,ITR Technology,"R 7 0 667,50",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
474,Q3 2022/23,2022/10/21,South African Social Security Agency,Memebership Fee,ISSA Membership Fee,"R 1 1 760,00",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
475,Q3 2022/23,2022/10/21,South African Social Security Agency,Renewal of membership,Institute Of Internal Auditors SA,"R 4 8 239,63",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
476,Q3 2022/23,2022/10/21,South African Social Security Agency,Renewal of SSL Certificate,Altron TMT,"R 1 3 853,65",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
477,Q3 2022/23,2022/10/21,South African Social Security Agency,Software Licence B10:J19CE 01/07/22-30/06/22,Surtech,"R 1 34 751,25",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
478,Q3 2022/23,2022/10/21,South African Social Security Agency,"Sole Supplier to move a 2x Sharp MFU's from
William Herbert Sportsground Wynberg to 272 Main
Road Wynberg",Apex Business Systems,"R 5 657,36",Procurement by other means,Not stated,Not stated,2022/07/28,,Noting,New
479,Q3 2022/23,2022/10/21,South African Social Security Agency,"Sole Supplier to move a sharp MFU from
Khayelitsha to Eersteriver the sharp MFU is under
lease contract and may only be moved by the
Service Provider as per TR3 conditions.",Apex Business Systems,"R 1 305,25",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
480,Q3 2022/23,2022/10/21,South African Social Security Agency,"Sole Supplier to move a Xerox MFU from
Khayelitsha to Eersteriver the Xerox MFU is under
lease contract and may only be moved by the
Service Provider as per TR3 conditions.",Altron Document Solutions,"R 3 520,67",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
481,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again,"R 2 0 900,00",Procurement by other means,Not stated,Not stated,2022/07/21,,Noting,New
482,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Mavula 1,"R 1 9 860,00",Procurement by other means,Not stated,Not stated,2022/07/21,,Noting,New
483,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Mavula 1,"R 1 2 470,00",Procurement by other means,Not stated,Not stated,2022/07/21,,Noting,New
484,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Gwebza Multi Purpose,"R 2 9 280,00",Procurement by other means,Not stated,Not stated,2022/07/21,,Noting,New
485,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Lokontani Co-Operative &Multipurpose,"R 1 0 500,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
