3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
360,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),"Security guard services at NW provincial office, Vryburg,
Klerksdorp, Rustenburg and Mabopane District offices.",Gija Security Services and Projects,Conclusion of Bids not finalized,"R 348 064,58","R 10 565 218,80",R -,2024/05/30,2024/06/01,2024/11/30,Reported
361,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),Security guard services at Witbank and Siyabuswa D/O.,Gija Security Services and Projects,Conclusion of Bids not finalized,"R 125 303,23","R 3 803 478,48",R -,2024/05/30,2024/06/01,2024/11/30,Reported
362,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),"Security guard services at Northern Cape, Kimberley, Springbok,
De Aar, Calvinia, and Upington D/O's.","Rise Security Services, Pty (Ltd)",Conclusion of Bids not finalized,"R 363 597,95","R 11 036 721,60",R -,2024/05/30,2024/06/01,2024/11/30,Reported
363,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),"Security guard services at Western Cape, Piketberg, Worcester,
Caledon, Metro 1 and 2, George and Beaufort West offices.","Rise Security Services, Pty (Ltd)",Conclusion of Bids not finalized,"R 335 417,11","R 10 181 315,16",R -,2024/05/30,2024/06/01,2024/11/30,Reported
364,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),"Security guard services at Welkom, Kroonstad, Betlehem and
Trompsburg D/O's.",KMT Security and Events Management,Conclusion of Bids not finalized,"R 298 080,00","R 10 730 880,00",R -,2024/05/30,2024/06/01,2024/11/30,Reported
365,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),"Security guard services at Free State Provincial Office and
Mangaung D/O.",KMT Security and Events Management,Conclusion of Bids not finalized,"R 74 520,00","R 2 682 720,00",R -,2024/05/30,2024/06/01,2024/11/30,Reported
366,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),"Security guard services at Eastern Vape Provincial Office, Bisho,
Nelson Mandela Metro, Queenstown, Butterworth, Aliwal North,
and Kokstad D/O's.",Meyiwa Protection and Construction,Conclusion of Bids not finalized,"R 359 996,02","R 12 959 856,72",R -,2024/05/30,2024/06/01,2024/11/30,Reported
367,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),Security guard services at KZN Provincial and D/O's.,Nomandla Security 247 cc,Conclusion of Bids not finalized,"R 502 550,00","R 18 091 800,00",R -,2024/05/30,2024/06/01,2024/11/30,Reported
368,Q1 2024/25,2024/03/21,"Banking Sector Education and Training Authority
(BANKSETA)SETA","Provision of integrated computerised ERP system for Accounting,
Projects and SCM",Breitech Pty Ltd,"BANKSETA advertised for a new ERP service provider in 2023 but no qualifying bids were
received. The extension of the existing contracts allows the tender to be advertised again and
allows time after the the final audit period to perform the migration , set up and testing of a new ERP","R496 687,00","R5 353 047,42","R802 688,04",2024/03/11,2024/03/11,2024/12/31,Reported
369,Q1 2024/25,2024/03/22,"Construction Education and Training Authority
(CETA)SETA",Appointment of service provider for post organisational support.,Phulo Consulting Services (Pty) Ltd,"It is on record that the process to appoint recruitment agent has met various stumbling blocks within
the CETA. At first there was a delay between September and October for the RFQ to go to the
market; and when it went various issues of conflict ensued to which BEXCO is privy at this stage.","R690 000,00","R1 824 255,30",R-,2023/12/05,2023/12/05,2024/05/21,Reported
370,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),"Supply, installation, and maintenance of Wide Area Network",Juhumani Solutions (Pty) Ltd,"Extension was necessary to afford the new service provider time to prepare implementation and to
link the new public IP address of the newly appointed","R3 141 240,78","R10 932 300,06","R3 141 240,78",2019/07/17,2019/11/01,2022/10/31,Reported
371,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Courier Services,Skynet South Africa,"Extension was necessary to allow the process of creating a new account for the new contract and
timely conclusion of the service level agreement","R56 917,52",Not states,R-,2023/05/01,2023/05/01,2023/11/30,Reported
372,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Leasing of office space: Durban,Delta Properties/Zeder Trading,Extension of lease was necessary to allow the finalisation of the newlease agreement,"R954 083,36","R1 533 125,04","R954 083,36",2022/06/03,2022/06/01,2023/05/31,Reported
373,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Leasing of office space: Johannesburg,City Properties Administration,Extension of lease was necessary to allow the finalisation of of the new lease agreement,"R2 157 606,59","R2 084 643,96","R2 157 606,59",2022/03/28,2022/04/01,2023/03/31,Reported
374,Q1 2024/25,2024/03/28,"Department of Sports, Arts and Culture (DSAC)","Request for approval expansion of scope for the service provider
investing sewage problem at National Film Video and Sound
Archives (NFVSA) using modern technology and attend to urgent
plumbing complains at three sites",Dhlamnisib,"The appointed service provider was appointend through the quotation process. However, during the
implementation stage, the company identified additional challenges that were not included in the
original specifications such as broken flushing systems, water pressure, replacement of toilet seats,
blocked kitchen sink and urinals not flushing in all three sites.","R81 498,00","R911 682,00",R-,2023/02/05,2024/03/07,2024/03/07,Reported
375,Q1 2024/25,2024/03/28,"Department of Sports, Arts and Culture (DSAC)","Request to approve variation of contract amount and scope of
work on the supply, delivery and installation of outdoor gym
equipment, children's play park and project name board project",Sacred Petrolium,"Additional outdoor gym equipment and children's play park requested by the executive authority as
part of ministerial outreach programme.","R482 653,00","R14 599 982,00",R-,2024/03/05,2024/03/07,2025/03/30,Reported
376,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Cleaning Services:Centurion office,Orizoe Services,"Additional general workers to assist at Pretoria, Centurion and Johannesburg offices.","R239 951,17","R1 219 714,38",R-,2021/10/01,2021/10/01,2024/10/31,Reported
377,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Physical Security and Guarding for Nelspruit Regional Office,HM Security and Armed Response,Additional guards needed to beef up security services after burglary incidents attempts in the office,"R208 725,00","R962 136,00","R208 725,00",2021/05/15,2021/05/17,2024/05/16,Reported
378,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Physical Security and Guarding of Mthatha Regional Office,Marshal Nights Security,Additional guards needed to beef up security services after burglary incident happened in the office,"R345 151,70","R1 038 190,80","R345 151,70",2021/07/04,2021/07/17,2024/07/17,Reported
379,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Physical Security and Guarding of Centurion Head Office,TOP Enterprise and Projects,Additional security guards needed due to threats identified in the top management block of offices,"R660 000,00","R1 080 000,00","R660 000,00",2021/06/17,2021/06/17,2024/06/16,Reported
380,Q1 2024/25,2024/03/27,Private Security Industry Regulatory Authority (PSIRA),Armed response and alarm system-Pretoria,Fidelity ADT and Technical,"Extension is necessary to aligh the contract with the lease for Pretoria office which expires on 30
June 2024","R7 397,70","R33 289,64",R-,2019/04/04,2020/11/01,2023/10/30,Reported
381,Q1 2024/25,2024/03/26,Civilian Secretariat for Police Service (CSPS),Travel Management Services,Hamba Nathi Travel,Bid in process,"R3 000 000,00","R25 127 301,77","R3 730 511,73",2024/02/14,2024/02/17,2024/05/16,Reported
382,Q1 2024/25,2024/03/18,Human Sciences Research Council (HSRC),"To streamline the processes around the management and
payment of Article Processing Charges on behalf of HSRC
researchers",World Wide Information Services (WWIS),"Expansion in the scope of work to streamline the processes around the management and payment
of Article Processing Charges on behalf of HSRC.","R3 000 000,00","R4 884 080,00",R-,2024/02/26,2024/02/26,2025/09/23,Reported
383,Q1 2024/25,2024/03/28,National Research Foundation (NRF),Supply of mIBG Hemisulfate precursor,ABX Advanced Biochemical Compounds,The increase is due to freight charges,"R14 681,41","R3 918,52",R-,2024/02/01,Once off,Once off,Reported
384,Q1 2024/25,2024/03/28,National Research Foundation (NRF),"Supply and delivery of water treatment , general maintenance and
provision of spare related to all water supply , equipment inclusive
of chiller units",Topliss Refrigeration,"The request is for the extension of the currect contract with Topliss Refrigeration for additional 5
months , to allow for the finalisation of the procurement process of a new contract","R202 518,87","R30 377,80",R-,2024/04/01,2024/04/01,2024/08/30,Reported
385,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Travel Management Services,Travel With Flair,"Time to finalise the tender process given changes in operational needs and requirements following
finalisation of Ministerial review process","R11 174 893,00","R46 987 731,00",R-,2023/02/28,2023/03/01,2023/10/30,Reported
386,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Security Services,Landile Security,They was a delay of hand over of the lab to the University of Free State,"R60 605,00","R181 815,00",R-,2023/07/01,2023/07/01,2024/01/02,Reported
387,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Security Services,Prime Time,Tender Process,"R481 850,00","R722 775,00",R-,2023/10/10,2023/10/10,2024/01/31,Reported
388,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Office rental,Redefine Properties,Extenstion of Lease Agreement,"R3 958 717,19","R8 143 284,20",R-,2023/04/01,2023/04/01,2026/03/31,Reported
389,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Wellness Services,Centre for Occupational Wellness,A clause was out should TIA be happy with service then TIA can renew for another year,"R193 600,00","R180 200,00",R-,2023/07/21,2023/07/21,2024/07/20,Reported
390,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Forensic Investigation,Gobobo Forensic and Investigation,The service still required within TIA,"R339 546,24","R806 380,00",R-,2023/08/18,2023/08/18,2024/08/17,Reported
391,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Removal of Waste Chemicals,Envirosev Waste,"The service provider encountered unforseen challenges of hazardous waste they had to additionaly
dispose of on signt and had to charge extra for it","R78 936,00","R486 356,11",R-,2024/03/28,2023/07/04,Not stated,Reported
392,Q1 2024/25,2024/03/28,Technology Innovation Agency (TIA),Bioportal Development and Maintenance,"Guy Baruch Stern trading as African Web
Science",They are responsible for coding and familiar with technical requirements,"R161 250,00","R60 000,00",R-,2023/09/14,2023/09/14,2025/09/13,Reported
393,Q1 2024/25,2024/04/04,"Banking Sector Education and Training Authority
(BANKSETA)SETA","Iniatators to Investigate, prpeare a charge sheet and prosecute
the employees.",Ndou Attorneys,"A contract extension for a further twelve (12) months to allow the work including court proceedings
to be completed. The legal matter has been taken to the Labour Court and the same lawyer is
required to complete the case. (the cumulative extension value is 90%)","R110 260,00","R499 999,00","R339 741,00",2024/03/27,2024/03/27,2025/03/31,Reported
394,Q1 2024/25,2024/03/28,"Department of Sports, Arts and Culture (DSAC)","Request for approval expansion of scope for the service provider
investing sewage problem at National Film Video and Sound
Archives (NFVSA) using modern technology and attend to urgent
plumbing complains at three sites",Dhlamnisib,"The appointed service provider was appointend through the quotation process. However, during the
implementation stage, the company identified additional challenges that were not included in the
original specifications such as broken flushing systems, water pressure, replacement of toilet seats,
blocked kitchen sink and urinals not flushing in all three sites.","R81 498,00","R911 682,00",R-,2024/03/13,2024/03/13,2024/03/13,Reported
395,Q1 2024/25,2024/03/28,"Department of Sports, Arts and Culture (DSAC)","Request to approve variation of contract amount and scope of
work on the supply, delivery and installation of outdoor gym
equipment, children's play park and project name board project",Sacred Petrolium,"additional outdoor gym equipment and children's play park requested by the executive authority as
part of ministerial outreach programme.","R482 653,00",,"R2 413 266,00",2024/03/07,2024/03/07,2025/03/30,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
396,Q1 2024/25,2024/04/16,"Department of Sports, Arts and Culture (DSAC)","Request to approve variation of an order for payment of the
service provider managing South African Creative Arts awards in
March 2024",Gomolemo Trading,"The CCI launch and the payment of artists was not on the scope of work for the appointed service
provider for the creative awards. Gauteng proncial office was supposed to render the service for
the launch and payment of the artists, however, they requested DSAC to render this service. Other
additional item to the scope of work was BMW car ramp, exhibition and content productionn of the
show.","R11 471,30","R6 937 777,00",R-,2023/12/08,2024/03/30,2024/03/30,Reported
397,Q1 2024/25,2024/04/16,"Department of Sports, Arts and Culture (DSAC)","Request for approval to increase the scope of work for M&R
Badiri Consultants for the production of the Trannformation audit
(EPP) report in Sport",M & R Badiri Consultants,"At the time of contracting the service provider the EPG had two officials responsible for data
capturing, internal data verification and data validation. Both officials would do the validation of data
before sending it to federations for external data verification. One official resigned in December
2023, it became impossible to undertake the work for the department as envisaged. The department
had to engage the appointed service provider to undertake additional work for data capturing and
verification.","R80 040,00","R886 034,00",R-,2024/01/24,2024/04/08,2024/04/19,Reported
398,Q1 2024/25,2024/04/16,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA","Extention of contract for the maintenance of the HWSETA social
media contract",At Vogue Communications,"The marketing and Communications sub-division will be going through the tender process in future
for the management of social media accounts and website management. The tender process is a
lengthy process hence an extention of this contract to ensure that the HWSETA social media","R50 002,00","R338 762,40",R-,2024/03/28,2024/04/01,2024/05/31,Reported
399,Q1 2024/25,2024/04/16,"Services Sector Education and Training Authority
(SSETA)SETA","Appointment of a service provider to provide information and
communication technology (ICT) infrastructure support",Dataproof Communication (Pty) Ltd,"The reason for the request was due to the fact that the organisation was in the process of renewing
some of the ICT support contracts. Also, with the implementation of Services SETA Integrated
Information Management System strategy, there were changes on how ICT will be supported.","R1 950 000,00","R17 967 600,00","R1 996 400,00",2023/09/20,2023/10/01,2024/04/30,Reported
400,Q1 2024/25,2024/04/16,"Services Sector Education and Training Authority
(SSETA)SETA","Appointment of a service provider to provide information and
communication technology (ICT) applications support",Struggles Descartes (Pty) Ltd,"The reason for the request was due to the fact that the organisation was in the process of renewing
some of the ICT support contracts. Also, with the implementation of Services SETA Integrated
Information Management System strategy, there were changes on how ICT will be supported.","R1 703 577,84","R23 400 000,00","R3 510 000,00",2023/09/20,2023/10/01,2024/04/30,Reported
401,Q1 2024/25,2024/04/18,"Local Government Sector Education and Training
Authority (LGSETA)SETA","Request for maintenance and hosting management information
system (MIS)",Remotenet,"To increase the scope of work and vary the contract by changing the scope of work and extension
of time.","R2 089 695,34","R6 097 235,76","R16 188 611,36",2024/03/27,2024/04/01,2024/09/30,Reported
402,Q1 2024/25,2024/04/22,Quality Council for Trades and Occupations (QCTO),ICT Microsoft licence renewal-extension on scope of work,InfoVerge Solution,Additional licences to newly appointed staff members,"R217 292,60","R4 636 582,44",R-,2024/09/04,2024/04/15,2026/06/30,Reported
403,Q1 2024/25,2024/04/24,"Insurance Sector Education and Training Authority
(Inseta)SETA","Request for approval to extend the provision and management of
an existing contract with INSETA's website developer for services
of developing an Assessment Quality Partner(AQP website) to
comply with the ISETA?QCTO service level agreement(SLA). The
AQP website is NOT a stand-alone site but plugs into the existing
INSETA website.",Pace Online,"Request for approval to extend the provision and management of an existing contract with INSETA's
website developer for services of developing an Assessment Quality Partner(AQP website) to
comply with the ISETA?QCTO service level agreement(SLA). The AQP website is NOT a stand-
alone site but plugs into the existing INSETA website.","R248 400,00","R359 720,00",R-,2024/04/03,2024/04/15,2025/08/21,Reported
404,Q1 2024/25,2024/04/08,Department of Tourism (DT),"Appointment of a service provider to render physical security
I
services for the department",dlangamandla Security Protection and Project,"The department is in a process of appointment of a three year security contract through the open
s
bid process.","R263 131,00","R736 750,86",R-,2023/12/12,2023/12/26,2024/02/26,Reported
405,Q1 2024/25,2024/04/18,"Department of Environment, Forestry and Fisheries
(DEFF)","Appointment Of Geodyn Solution Pty Ltd As A Single Source
Provider For Leasing Of Facilities At Rosslyn Industrial In
Tshwane Municipality For A Period of 18 Months",Geodyn Solution Pty Ltd,Contract Extension and Variation,"R2 144 000,00","R4 589 999,99",R-,2022/10/05,2022/10/01,2024/04/30,Reported
406,Q1 2024/25,2024/04/18,Department of Public Works and Infrastructure (DPWI),"Facilities prioritized for Condition Assessments within Cluster 1
were estimated based on facility categorization (type and use),
size and scope calculated at metres square and upon the service
provider going to site it was found that there were variances in
certain of the extents in the facility. This resulted in a need to
expand the scope and related costs for cluster 1 from an extent of
204 206m² to 213 636.14m²",Bigen,"Approve the expansion of scope in relation to the extent of the facilities where condition
assessments were conducted by the appointed Service Provider.","R130 984,64","R2 835 582,87",R-,2023/08/21,2023/09/27,2024/02/16,Reported
407,Q1 2024/25,2024/04/18,Department of Public Works and Infrastructure (DPWI),"Facilities prioritized for Condition Assessments within Cluster 3
were estimated based on facility categorization (type and use),
size and scope calculated at metres square and upon the service
provider going to site it was found that there were variances in
certain of the extents in the facility. This resulted in a need to
expand the scope and related costs for cluster 3 from an extent of
95 846m² to 280 497m²",P E Mahapa,"Approve the expansion of scope in relation to the extent of the facilities where condition
assessments were conducted by the appointed Service Provider.","R4 438 244,17","R1 515 366,00",R-,2023/08/21,2023/09/27,2024/02/16,Reported
408,Q1 2024/25,2024/04/18,Department of Public Works and Infrastructure (DPWI),"EFacilities prioritized for Condition Assessments within Cluster 4
were estimated based on facility categorization (type and use),
size and scope calculated at metres square and upon the service
provider going to site it was found that there were variances in
certain of the extents in the facility. This resulted in a need to
expand the scope and related costs for cluster 4 from an extent of
58 445m² to 68 336m²",P E Mahapa,"Approve the expansion of scope in relation to the extent of the facilities where condition
assessments were conducted by the appointed Service Provider.","R918 315,44","R916 155,89",R-,2023/08/21,2023/09/27,2024/02/16,Reported
409,Q1 2024/25,2024/04/18,Department of Public Works and Infrastructure (DPWI),"Facilities prioritized for Condition Assessments within Cluster 5
were estimated based on facility categorization (type and use),
size and scope calculated at metres square and upon the service
provider going to site it was found that there were variances in
certain of the extents in the facility. This resulted in a need to
expand the scope and related costs for cluster 5 from an extent of
94 820m² to 117 762m²",P E Mahapa,"Approve the expansion of scope in relation to the extent of the facilities where condition
assessments were conducted by the appointed Service Provider.","R213 552,58","R1 498 151,26",R-,2023/08/21,2023/09/27,2024/02/16,Reported
410,Q1 2024/25,2024/04/11,Department of Science and Innovation (DSI),"Expanding the scope of work for the repairs of the generator by
Diesel Innovations",Diesel Innovations,"Diesel Innovations was appointed to do repairs on the generatore, during the testing of the
generator it was noted that an additional air and fuel filter are required. Since Diesel Innovation is
appointed to carry out the repairs it will be impractical, costly and time consuming to appoint another","R14 019,88","R49 447,71",R-,2024/01/24,Once off,Once off,Reported
411,Q1 2024/25,2024/04/11,Department of Science and Innovation (DSI),"Expansion of scope on the update and enhancement of the
Research and Development (R&D) Tax Incentive Online System
(Online System),",Barone Budge and Dominick (Pty) Ltd (BBD),"Due to the Minister of Finance announcement during his 2023 budget speech, that the R&D tax
incentive will be extended for a period of 10 years with a change in the R&D definition. Therefore, it
is necessary to update the online system, specifically to cater for the six-month grace period and for","R2 508 500,00","R4 451 242,00",R-,2024/02/15,2024/03/13,2027/03/12,Reported
412,Q1 2024/25,2024/04/05,Human Sciences Research Council (HSRC),To extend the HSRC's storage,Pickford’s,Storage Extension,"R45 115,65","R278 556,43",R-,2024/03/27,2024/03/27,2024/07/30,Reported
413,Q1 2024/25,2024/04/26,Human Sciences Research Council (HSRC),Temporary office location,Connect Space Musgrave,Expansion in the scope of work,"R324 760,00","R932 592,50","R133 227,50",2024/03/18,2024/03/18,2024/08/30,Reported
414,Q1 2024/25,2024/04/19,"South African Broadcasting Corporation SOC Limited
(SABC)",SAP C4C,SAP,"Failed RFQ process, resulting in extension of the current contract","R3 791 126,26","R1 966 820,06",R-,2024/03/22,2024/03/30,2025/03/30,Reported
415,Q1 2024/25,2024/04/19,"South African Broadcasting Corporation SOC Limited
(SABC)",SAP Successfactor,SAP,"Failed RFQ process, resulting in extension of the current contract","R2 646 303,73","R2 561 765,47",R-,2024/03/22,2024/04/01,2025/03/31,Reported
416,Q1 2024/25,2024/04/12,South African Weather Service,"Variation of contract for the purchase order 2214 to include the
latest cost of the digital receiver item 43694 as the replacement
for item 762452 in the list of critical radar spares",Leonardo Germany,"The shortage of spares has an adverse effect on the availability and perfomance of SAWS radar
network","R22 358,05","R1 125 426,08",R-,2024/03/13,Once off,Once off,Reported
417,Q1 2024/25,2024/05/09,William Humphreys Art Gallery,"Mechanical Engineering Consulting Services - Upgrade of HVAC
system",BVI Consulting Engineers,Expansion of scope of work,"R581 541,00","R692 002,00",R-,2023/10/12,2023/10/12,2025/12/23,Reported
418,Q1 2024/25,2024/05/10,"Fibre Processing and Manufacturing Sector Education
and Training Authority (FP&M SETA)SETA",Extension of Cape Town lease for 12 months,HCI - The Palms Woodstock,FP&M Seta has advertised the tender in the 2024/25 financial year.,"R848 429,52","R1 858 073,09","R2 805 739,95",2024/04/01,2024/04/01,2025/03/31,Reported
419,Q1 2024/25,2024/05/10,"Fibre Processing and Manufacturing Sector Education
and Training Authority (FP&M SETA)SETA",Extension of LMIS contract for 04 months,ADAPT IT,FP&M Seta has advertised the tender in the 2024/25 financial year.,"R2 272 313,18","R15 630 593,35","R15 630 593,35",2024/04/01,2024/04/01,2024/07/31,Reported
420,Q1 2024/25,2024/05/13,"Insurance Sector Education and Training Authority
(Inseta)SETA",BBKIH Project Launch catering and decor,Khumo Leruo (Pty) Ltd,BBKIH Project Launch catering and decor,"R75 650,00","R133 100,00",R-,2024/05/10,2024/05/14,2024/05/14,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
421,Q1 2024/25,2024/04/25,Department of Higher Education and Training (DHET),"To approve the 15% variation of the social media contract with
additional scope of work",ploy Media,"The department have to respond about student registration, funding, eligibility criteria and students
challenges on social mdedia","R1 042 489,40","R6 949 930,40",R-,2024/04/23,2024/04/24,2025/01/31,Reported
422,Q1 2024/25,2024/05/15,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Provision of Financial Resource,Equilab Solutions,Additional resource required due to internal capacity challenges,"R382 500,00","R999 999,00",R-,2024/02/13,2024/02/19,2024/02/19,Reported
423,Q1 2024/25,2024/05/15,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Provision of Managed Printing Services,NASHUA,Continuity of services whilst the RFP/Tender process to appoint a new service provider is finalised,"R193 489,87","R2 165 369,87",R-,2024/04/01,2024/04/01,2024/04/01,Reported
424,Q1 2024/25,2024/05/20,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Mpumalanga office accomoation,Debruyn Commercial Property Brokers,"Several procurement processess failed to yield a successful bidder, terms of reference under
review by the bid specification committee before alternate procurement methods are considered","R268 226,31","R1 449 315,96","R41 157 846,24",2024/04/17,2024/04/17,2024/07/31,Reported
425,Q1 2024/25,2024/06/03,National Research Foundation (NRF),"Appointment of a Service Provider to Provide a Locum
Pharmacist As and when required for Twelve (12) months for the
Radioisotope Production Programme of iThemba LABS",Immploy Recruitment Agency cc,"A variation is requested to extend the contract for one (1) month in order to conclude the new
contract for the services of a Locum Pharmacist.","R85 830,25","R339 250,00","R133 579,60",2023/05/08,2023/05/08,2024/06/07,Reported
426,Q1 2024/25,2024/06/05,"Services Sector Education and Training Authority
(SSETA)SETA","Appointment of a grade 5GB CIDB registered contractor for the
construction of a skills development centre in
Paulpietersburg(Dumbe Local Municipality)",MKF Trading & Projects (Pty) Ltd,Request for add*itional funds for the construction of Edumbe Skills Centre,"R2 815 831,35","R9 799 237,41","R1 996 307,97",2024/05/28,2024/05/28,2024/03/06,Reported
427,Q1 2024/25,2024/06/07,Civilian Secretariat for Police Service (CSPS),Travel Management Services,Hamba Nathi Travels,Bid in process,"R3 000 000,00","R25 127 301,77","R991 335,47",2024/05/14,2024/05/17,2024/08/16,Reported
428,Q1 2024/25,2024/06/07,"Department of Sports, Arts and Culture (DSAC)","Request to approve variation of contract amount and scope of
work for payment of MT Makhubela Incorporated Attorneys for
legal opinion on the matter of Boxing South Africa new board
members",MT Makhubela Incorporated Attorneys,"The department issued a request for quotation to seek and opinion to determine the lacuna created
by the High Court order and appointed MT Makhubela Attorney. The department noted that MT
Makhubela Attorneys was already privy to the issues, was requested on opinion on urgent opinion
and the possibilities of success was very high, however, Counsel needed to be briefed with the
estimation of cost of R 1,200,000","R497 204,80","R1 200 000,00",R-,2024/03/19,2024/03/19,2024/03/19,Reported
429,Q1 2024/25,2024/05/30,National Heritage Council South Africa (NHC),"Request for approval of the variation of the original order
PO23901 issued to Hamba Umhlaba Travel",Hamba Umhlaba Travel,"The NHC team, led by the CEO, travelled on 26 August 2023 to attend the Amachunu Annual Virgin
Day Ceremony in Kwa Nomzansi Village in KZN, held on 27 August 2023. The team was scheduled
to travel back to Gauteng in the afternoon of 28 August 2023 but the CEO had another scheduled
event at 11am in Rosebank on 28 August 2023. It was therefore necessary to change the return
flight to an earlier time which resulted in additional charges.","R1 808,14","R38 497,26",R-,2023/08/23,2023/08/23,2023/08/28,Reported
430,Q1 2024/25,2024/05/30,National Heritage Council South Africa (NHC),"Request for approval for PO24218 of Raytoo (Pty) Ltd for the
Council Strategy Review Workshop and Meeting held on 22 and
23 January 2024 at Hartbeespoort",Raytoo (Pty) Ltd,"The Secretariat had sourced quotes for venue hire and Council travel for the two-day session
through Supply Chain and the PO was issued accordingly. Additional requests were received from
Members and the Executive Office after approval of the purchase order hence the request for the
variation","R14 809,00","R139 141,55",R-,2023/12/14,2023/12/14,2024/01/31,Reported
431,Q1 2024/25,2024/05/30,National Heritage Council South Africa (NHC),"Request for approval of the variation of Cowan Harper Madikizela
for policy review",Cowan Harper Madikizela Attorneys,"The project highlighted the request for policy review on 47 NHC policies. Cost for meetings,
telecommunications, correspondence and traveling was omitted. NHC required various interactions
with the service provider during the period of contract that resulting in the additional costing.","R95 046,36","R894 700,00",R-,2023/05/05,2023/05/05,2023/12/31,Reported
432,Q1 2024/25,2024/06/11,"Insurance Sector Education and Training Authority
(Inseta)SETA","Provision of an Off the Shelf Enterprise Resource Planning (ERP)
System, Supported & Maintained over for a period of five (5)
years.",QI Solutions,"The Finance and HR Divisions requires additional licenses on the ERP due number of staff
members currently working on the Finance and E-Recruitment modules. This increase staff
members, thereby impacts the INSETA ERP system Payroll and ESS, as the applicable licences will
have to be increased, allowing HR to process and access payroll and appointed employees can
manage their employee profiles on the ESS (such as leave) on the ERP system.","R233 467,60","R14 465 088,28","R2 219 250,48",2024/05/31,2024/06/01,2025/06/06,Reported
433,Q1 2024/25,2024/06/04,Council for Scientific and Industrial Research (CSIR),"Provisioning of managed bandwidth connectivity for the South
African Environmental Observation Network (SAEON)
Pietermaritzburg site.",FibreCo (Pty) Ltd,,"R367 710,24","R1 838 551,00",R-,2025/05/28,2025/05/28,2024/05/29,Reported
434,Q1 2024/25,2024/06/03,National Research Foundation (NRF),"Appointment of a Service Provider to Provide a Locum
Pharmacist As and when required for Twelve (12) months for the
Radioisotope Production Programme of iThemba LABS",Immploy Recruitment Agency cc,"Extension of the contract for one (1) month in order to conclude the new contract for the services of
a Locum Pharmacist.","R85 830,25","R339 250,00","R133 579,60",2023/05/08,2023/05/08,2024/06/07,Reported
