115,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Aux Boiler & Fuel oil plant Maintenance,Mitsubishi Power Africa,"R 6 126 004,00",Urgent Procurement,2024/01/16,2024/01/16,2024/04/30,Reported
116,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Supply of spares and Refurbishment of CW Valves,Mpumalanga Valve Services,"R 14 157 656,52",Urgent Procurement,2024/01/16,2024/01/16,2024/01/16,Reported
117,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Service Kaeser Compressors,Kaeser Compressors SA (Pty) Ltd,"R 1 066 738,35",Urgent Procurement,2024/01/16,2024/01/17,Once-off,Reported
118,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,"Removal of gratings and cleaning of slurry in the
trenches from the ground floor SSC, milling plant, DHP,
PA fans as well as around the goods and passenger lifts
shaft to the degrit sump at Unit 4.",Lingomso Business Enterprise & Projects ( Pty) Ltd,"R 1 465 000,00",Urgent Procurement,2024/01/16,2024/01/15,2024/02/29,Reported
119,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,"Unblocking of Station Drains (removal of silt/scale) at
Duvha Power Station Unit 1 - 6",3rd Alternative Solutions,"R 9 527 000,00",Urgent Procurement,2023/01/01,Not stated,Not stated,Reported
120,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,VSD Elect:CFW110477T4SZ;HD;250 KW;400;3,Zest Weg Electric,"R 218 046,95",Urgent Procurement,2024/01/16,2024/01/16,2024/01/26,Reported
121,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,"Manufacture & supply spindle & valve seat and Spindles
& revolving nuts",MiTech Technologies,"R 288 882,00",Sole source,2024/01/10,2024/01/16,2024/01/28,Reported
122,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,West Aux cooling make up v/v replacement,TVN Industries,"R 895 094,00",Sole source,2024/01/16,2024/01/16,2024/03/26,Reported
123,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Primary air heater repairs,BMS Environmentals,"R 3 234 100,00",Urgent Procurement,2023/12/22,2024/01/19,2024/03/15,Reported
124,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,"The supply and deliver of Fabric Filter Plant spares for a
period of 36 months",Howden Power,"R 33 549 705,09",Single Source,2024/01/15,2024/02/01,2027/01/31,Reported
125,Q4 2023/24,2024/01/19,,Eskom Holdings SOC Ltd,"Appointment of a Conduct vigilance monitoring of
selected high conservation value (HCV) forests for
SAFCOL",Forestwood CC,"R 149 325,00",Not obtaining three quotations,2024/01/08,Not stated,Not Stated,Reported
126,Q4 2023/24,2024/01/19,,Eskom Holdings SOC Ltd,Litigation Services,Marule Attorneys,"R 1 500,00",Not obtaining three quotations,2023/05/10,Not stated,Not Stated,Reported
127,Q4 2023/24,2024/01/31,,Community Schemes Ombud Service (CSOS),Annual License Renewal,Adapt IT,"R 189 942,94",Sole supplier,2024/01/31,Not Stated,Not Stated,Reported
128,Q4 2023/24,2024/02/06,,"National Housing Finance Corporation SOC Ltd
(NHFC)",Acquire services of the Ethix App,Corrie Campbell's Corporate Communications Company (PTY) LTD,"R 376 110,75",To facilitate ethical topic discussion within the organization,2024/01/04,2024/01/24,2027/01/24,Reported
129,Q4 2023/24,2024/02/06,,"National Housing Finance Corporation SOC Ltd
(NHFC)","Annual Membership subsription to the South African
Institute of Chartered Accountants (SAICA)",SAICA,"R 8 478,35","NHFC benefits from SAICA registered members' skills and
knowledge",2024/01/08,2024/01/15,2025/01/14,Reported
130,Q4 2023/24,2024/02/06,,"National Housing Finance Corporation SOC Ltd
(NHFC)",SAGE VIP annual license renewal,SAGE,"R 98 093,85","License payable directly to SAGE as they are the original
equipment manufacturer",2024/01/15,2024/03/01,2025/02/28,Reported
131,Q4 2023/24,2024/02/06,,"National Housing Finance Corporation SOC Ltd
(NHFC)",Legal Opinion - Lifestyle Audits,Werkmans,"R 18 500,00","Outlining what measures need to be in place and under what
conditions the NHFC may conduct lifestyle audits",2024/01/31,2024/01/31,2024/04/09,Reported
132,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),fish,skhulile mbali trading and projects,"R 181 350,00",Unavailability of contracts,2023/11/23,Not Stated,Not Stated,Reported
133,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),apples,skhulile mbali trading and projects,"R 66 040,00",Unavailability of contracts,2023/11/23,Not Stated,Not Stated,Reported
134,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),chicken,ouboet ans sons (pty) ltd,"R 278 800,00",Unavailability of contracts,2023/11/23,Not Stated,Not Stated,Reported
135,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),beef,ouboet ans sons (pty) ltd,"R 268 800,00",Unavailability of contracts,2023/11/23,Not Stated,Not Stated,Reported
136,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),brown bread,under the sun,"R 35 343,00",Unavailability of contracts,2023/11/24,Not Stated,Not Stated,Reported
137,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),peanut butter,tshedza solutions,"R 58 644,00",Unavailability of contracts,2023/11/24,Not Stated,Not Stated,Reported
138,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),bread brown,under the sun,"R 104 104,00",Unavailability of contracts,2023/11/24,Not Stated,Not Stated,Reported
139,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),perishables,bidela & lwandle coastal,"R 803 740,00",Unavailability of contracts,2023/11/28,Not Stated,Not Stated,Reported
140,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),supply and delivery of fruit and vegetables,raymo holdings (pty) ltd,"R 591 627,00",Unavailability of contracts,2023/10/12,Not Stated,Not Stated,Reported
141,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Chelsea Commodities,"R 887 110,00",Unavailability of contracts,2023/12/01,Not Stated,Not Stated,Reported
142,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Adelco Trading Pty Ltd,"R 123 500,00",Unavailability of contracts,2023/12/08,Not Stated,Not Stated,Reported
143,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Hawsson Pty Ltd,"R 546 000,00",Unavailability of contracts,2023/12/08,Not Stated,Not Stated,Reported
144,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Blue Sands Trading 5 CC,"R 146 587,00",Unavailability of contracts,2023/12/08,Not Stated,Not Stated,Reported
145,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Carbon Sense,"R 329 000,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
146,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Krooz,"R 164 125,00",Unavailability of contracts,2023/12/12,Not Stated,Not Stated,Reported
147,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Krooz,"R 341 598,90",Unavailability of contracts,2023/12/12,Not Stated,Not Stated,Reported
148,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Olweba,"R 69 000,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
149,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Cantz Trade,"R 337 500,00",Unavailability of contracts,2023/12/12,Not Stated,Not Stated,Reported
150,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Anga Sales,"R 90 000,00",Unavailability of contracts,2023/12/12,Not Stated,Not Stated,Reported
151,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Yologa,"R 18 000,00",Unavailability of contracts,2023/12/12,Not Stated,Not Stated,Reported
152,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Selton Enterprises,"R 33 600,00",Unavailability of contracts,2023/12/12,Not Stated,Not Stated,Reported
153,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Fizzjen,"R 19 500,00",Unavailability of contracts,2023/12/13,Not Stated,Not Stated,Reported
154,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Splitco,"R 20 850,00",Unavailability of contracts,2023/12/13,Not Stated,Not Stated,Reported
155,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Carbon Sense,"R 49 750,00",Unavailability of contracts,2023/12/13,Not Stated,Not Stated,Reported
156,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Fluffdog Pty Ltd,"R 560 070,00",Unavailability of contracts,2023/12/14,Not Stated,Not Stated,Reported
157,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),cleaning material,Solucare,"R 123 379,92",Unavailability of contracts,2023/12/14,Not Stated,Not Stated,Reported
158,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),cleaning material,LBC Multiserve,"R 45 381,50",Unavailability of contracts,2023/12/14,Not Stated,Not Stated,Reported
159,Q4 2023/24,2024/02/02,,Legal Aid South Africa,office accomodation,"790 Govan Mbeki Avenue, Gqeberha","R 58 420,00",Emegency Procurement,2024/01/08,2024/02/01,2024/03/31,Reported
160,Q4 2023/24,2024/02/02,,Legal Aid South Africa,syspro licence renewal,SYSPRO (Pty) Ltd,"R 3 821 461,29",Sole service provider,2023/12/14,2023/12/15,2025/10/31,Reported
161,Q4 2023/24,2024/02/02,,Legal Aid South Africa,"deviation from normal procurement processes for the
procurement of legal aid sa office accomodation in
colesberg local office",N/A,R-,"Request to deviate from normal process due to limited market
responses or suppliers for identified office",2024/01/10,Not Stated,Not Stated,Reported
162,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Bienie Boy,"R 85 000,00",Unavailability of contracts,2023/12/14,Not Stated,Not Stated,Reported
163,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Sehume Supply & Projects,"R 906 450,00",Unavailability of contracts,2023/12/06,Not Stated,Not Stated,Reported
164,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Spenny Services,"R 62 500,00",Unavailability of contracts,2023/11/28,Not Stated,Not Stated,Reported
165,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),non-perishables,Olweba,"R 352 800,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
166,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Holgate Fruit & Veg,"R 66 720,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
167,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Fig Jaza,"R 851 290,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
168,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Winfred General Contracting & Trading,"R 560 950,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
169,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),perishables,Alro Food Supplies,"R 166 605,00",Unavailability of contracts,2023/11/29,Not Stated,Not Stated,Reported
170,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),beef,nikita multi services,"R 862 025,00",Unavailability of contracts,2023/12/07,Not Stated,Not Stated,Reported
171,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),chicken,babomke 2708 trading,"R 766 824,00",Unavailability of contracts,2023/12/06,Not Stated,Not Stated,Reported
172,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),fish,bacarac foods,"R 426 400,00",Unavailability of contracts,2023/12/05,Not Stated,Not Stated,Reported
173,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),beef,nikita multi services,"R 862 025,00",Unavailability of contracts,2023/12/07,Not Stated,Not Stated,Reported
174,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),chicken,babomke 2708 trading,"R 766 824,00",Unavailability of contracts,2023/12/06,Not Stated,Not Stated,Reported
175,Q4 2023/24,2024/01/25,,Department of Correctional Services (DCS),supply and delivery of groceries,coach commune,"R 621 220,65",Unavailability of contracts,2023/12/06,Not Stated,Not Stated,Reported
176,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),fruit and vegetables,zenemali projects,"R 38 000,00",Unavailability of contracts,2023/12/07,Not Stated,Not Stated,Reported
177,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),bread,bz business management,"R 28 000,00",Unavailability of contracts,2023/12/13,Not Stated,Not Stated,Reported
178,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),chicken,nthatise projects and agric,"R 28 000,00",Unavailability of contracts,2023/12/13,Not Stated,Not Stated,Reported
179,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),chicken,yes i can enterprise,"R 23 503,00",Unavailability of contracts,2023/12/19,Not Stated,Not Stated,Reported
180,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),beef,emihle imizamo trading enterprise,"R 29 997,00",Unavailability of contracts,2023/12/18,Not Stated,Not Stated,Reported
181,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),fruit and vegetables,ufefe lwakhe distributors,"R 16 040,00",Unavailability of contracts,2023/12/18,Not Stated,Not Stated,Reported
182,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),oats & maltabella,benladys new enterprise,"R 234 000,00",Unavailability of contracts,2023/12/12,Not Stated,Not Stated,Reported
183,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),"gravy powder,tea & coffee",lumile investments,"R 325 770,00",Unavailability of contracts,2023/12/05,Not Stated,Not Stated,Reported
184,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),fruit and vegetables,tkk trading enterprise,"R 724 580,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
185,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),bread brown,miami trading,"R 29 700,00",Unavailability of contracts,2023/12/06,Not Stated,Not Stated,Reported
186,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),bread brown,kuve trading,"R 29 700,00",Unavailability of contracts,2023/12/18,Not Stated,Not Stated,Reported
187,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),chicken,lake victoria trading,"R 26 680,00",Unavailability of contracts,2023/12/18,Not Stated,Not Stated,Reported
188,Q4 2023/24,2024/01/25,,Department of Correctional Services (DCS),chicken,cekwana,"R 24 800,00",Unavailability of contracts,2023/12/18,Not Stated,Not Stated,Reported
189,Q4 2023/24,2024/01/26,,Department of Correctional Services (DCS),beef,gcobani,"R 22 400,00",Unavailability of contracts,2023/06/14,Not Stated,Not Stated,Reported
190,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),beef,lqamu,"R 26 900,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
191,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),fruit and veg,nosizozo,"R 22 360,00",Unavailability of contracts,2023/12/14,Not Stated,Not Stated,Reported
192,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),chicken,nakhane,"R 25 600,00",Unavailability of contracts,2023/12/14,Not Stated,Not Stated,Reported
193,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),rolled oats,odikela duppliers,"R 173 600,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
194,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),maize samp,odikela duppliers,"R 146 265,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
195,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),brown flower,odikela duppliers,"R 12 600,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
196,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),maize meal,odikela duppliers,"R 217 280,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
197,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),maize rice,odikela duppliers,"R 54 880,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
198,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),soya meat balls,bacarac nutritionalfoods,"R 195 200,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
199,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),soya sausage,bacarac nutritionalfoods,"R 207 200,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
200,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),soya patties,bacarac nutritionalfoods,"R 195 200,00",Unavailability of contracts,2023/12/11,Not Stated,Not Stated,Reported
