,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT EXPANSIONS,,,,,,,,,,,
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
EXPANSIONS REPORT,,,,,,,,,,,,,,
1,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),PABX Support and Maintenance,Rivoni Matimba,"Due to a delay in the porting of numbers from the previous to the current service provider, it is
hereby requested that the PABX service and support to be extended by an additional two (02)
months period to allow for the telephone number porting process to be concluded as well as a
smooth transition from the current to the new service provider.","R 26 187,18","R 380 918,00","R 57 305,91",2023/12/11,2023/12/12,2024/01/31,Reported
2,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Conduct psychometric assessments for candidates who applied for
CEO position",Mogoma Research and Development,"The initial purchase order issued covered only two candidates but the Board resolved that the
top three candidates must go through the psychometric assessments.","R 13 116,40","R 48 258,60",R-,2023/12/21,2024/01/03,2024/03/31,Reported
3,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Cleaning Services,OKS Investments 2009,New tender process to appoint service provider not yet concluded,"R 318 780,00","R 2 902 518,00","R 85 733,10",2023/11/27,2024/01/01,2024/03/31,Reported
4,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Security Services,Lettie Top Security,New tender process to appoint service provider not yet concluded,"R 372 471,36","R 3 737 009,50","R 1 228 208,32",2023/11/30,2024/01/01,2024/03/31,Reported
5,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Eastern Cape Provincial Office - Security Contract,Atlas Security,Alignment to lease period ending 31 March 2024,"R 5 078,34","R 26 481,12",R-,2023/11/20,2023/12/01,2024/03/31,Reported
6,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Cleaning Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 24 589,60","R 24 589,60",R-,2023/11/27,2023/12/01,2024/05/31,Reported
7,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Hygiene Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 3 300,00","R 3 300,00",R-,2023/11/27,2023/12/01,2024/05/31,Reported
8,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Vryheid Local Office (Lease of office accomodation),Hester Davel,New tender process to appoint service provider not yet concluded,"R 320 157,42","R 2 556 602,98","R 320 157,42",2023/11/24,2024/01/01,2024/06/30,Reported
9,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Graaff-Reinet Local Office (Lease of office accomodation),Karl Benjamin Putter t/a Radium Cleaners,New tender process to appoint service provider not yet concluded,"R 160 390,68","R 1 364 116,68",R-,2023/11/24,2024/01/01,2024/06/30,Reported
10,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Ladybrand Satellite Office (Lease of office accomodation),Oos Vrystaat Kaap,New tender process to appoint service provider not yet concluded,"R 70 472,64","R 376 930,31","R 67 116,78",2023/11/24,2024/01/01,2024/06/30,Reported
11,Q4 2023/24,2024/01/10,,Legal Aid South Africa,"Makhanda (Grahamstown) Local Office (Lease of office
accomodation)",Karoovlakte Trust,New tender process to appoint service provider not yet concluded,"R 597 897,60","R 5 339 352,00",R-,2023/11/24,2024/02/01,2024/07/31,Reported
12,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Modimolle Local Office (Lease of office accomodation),Nyl Sakesentrum (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 116 616,36","R 2 080 406,99","R 233 232,72",2023/11/24,2024/01/01,2024/03/31,Reported
13,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Mokopane Satellite Office (Lease of office accomodation),Rayveen CC,"RFQ process non-responsive, new process will be undertaken","R 130 430,04","R 1 164 767,72",R-,2023/11/24,2024/01/01,2024/06/30,Reported
14,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Secunda Satellite Office (Lease of office accomodation),Dipula Property Investments Trust,"RFQ process non-responsive, new process will be undertaken","R 133 572,96","R 1 173 835,33","R 133 572,96",2023/11/24,2024/01/01,2024/06/30,Reported
283,Q4 2023/24,2024/02/07,Perishable Products Export Control Board (PPECB),HCM suite implementation and support,Oracle Corporation SA,Extension of existing contract,"R 1 265 000,00","R 30 431 602,00",R-,2024/02/07,2023/05/04,2028/05/03,Reported
284,Q4 2023/24,2024/02/13,National Youth Development Agency (NYDA),Bloemfontein Office Lease Agreement,Vukile Property Fund Limited,Contnuation of contract to allotender process to conlcude,"R 553 909,00","R 5 639 539,04","R 443 127,20",2023/11/30,2023/12/01,2024/04/30,Reported
285,Q4 2023/24,2024/02/13,National Youth Development Agency (NYDA),eMalahleni Office Lease Agreement,MPH Properties and Projects,Contnuation of contract to allotender process to conlcude,"R 756 000,00","R 5 871 535,77","R 360 000,00",2023/11/29,2023/12/01,2024/05/31,Reported
286,Q4 2023/24,2024/02/13,National Youth Development Agency (NYDA),Secunda Office Lease Agreement,Tribugenix,Continuation of contract to allotender process to conlcude,"R 1 143 338,94","R 8 350 188,50","R 754 225,96",2023/11/29,2023/12/01,2024/05/31,Reported
287,Q4 2023/24,2024/02/28,Road Accident Fund (RAF),Rental and support of ICT End-user equipment,Sizwe Africa IT Group (Pty) Ltd,"An extension of rental and support of ICT End-user equipment for a period of six (6) months to
allow procurement process to be finalised","R 4 988 898,03","R 49 500 000,00","R 10 350 742,30",2024/02/28,Not stated,2024/05/06,Reported
288,Q4 2023/24,2024/02/28,Road Accident Fund (RAF),Rental of Audio Visual Equipment,Sizwe Africa IT Group (Pty) Ltd,"An extension of rental of audio visual equipment on a month-to-month basis not exceeding a
period of four (4) months to allow procurement process to be finalised.","R 756 399,28","R 20 076 878,25","R 1 134 598,95",2024/02/28,Not stated,2024/03/24,Reported
289,Q4 2023/24,2024/02/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Europe Office Lease Ext 30 Sept 2023,Regus Amsterdam Bv,Operational requirement,"R 60 943,56","R 1 117 607,15","R 849 557,31",2024/02/28,2024/02/15,2024/09/30,Reported
290,Q4 2023/24,2024/02/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Europe Office Lease 01.10.2023-30.09.202,Regus Amsterdam Bv,Operational requirement,"R 1 357 107,07","R 1 117 607,15","R 910 500,69",2024/02/28,2024/02/16,2024/09/30,Reported
291,Q4 2023/24,2024/02/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Extension - Lexisnexis 2023/2024,Lexisnexis,Operational requirement,"R 191 437,50","R 250 800,00","R 7 571 462,00",2024/02/28,2024/02/21,2025/01/31,Reported
292,Q4 2023/24,2024/02/22,"Department of Planning, Monitoring and Evaluation
(DPME)",Insurance for DPME vehicles,Standard Bank Insurance brokers,additional vehicles to the current contract,"R 12 743,57","R 344 357,34","R 95 805,16",2024/02/14,2023/06/01,2024/05/31,Reported
293,Q4 2023/24,2024/03/07,Department of Health (DoH),Supply and delivery of solid dosage forms to the NDoH,Ruby Pharma ; Biotech Lab and Adcock Ingram,Withdrawal and non-acceptance of awards by some bidders,"R 63 341 548,28","R 8 779 752 041,81",R-,2023/01/05,2023/05/01,2026/04/30,Reported
294,Q4 2023/24,2024/03/11,Department of Basic Education (DBE),"Supply of Mimecast services to the Department of Basic Education
(DBE)",SMS ICT Choice,"To give the State Information Technology Agency (SITA) time to procure the new services
provider which will supply the DBE with Mimecast Services","R 36 245,70","R 1 304 845,20","R 326 211,30",2023/06/21,2024/02/01,2024/02/29,Reported
295,Q4 2023/24,2024/03/12,Rand Water,"Provision of physical security services at emfuleni local municipality
water and sanitation infrastructure",Calvin and Family Security Service (PTY) LTD,"The Parties now wish to variate the scope of the Agreement to a month-to-month basis for
Provision of Physical Security Services at Emfuleni Local Municipality Water and Sanitation
Infrastructure commencing on 01 March 2024 to 31 March 2024","R 4 937 795,48","R 92 340 164,93","R 40 864 872,81",2023/07/01,2023/07/12,2026/06/30,Reported
296,Q4 2023/24,2024/03/12,Office of the Valuer General (OVG),Cleaning and Hygiene Services,Zwiito Cleaning CC,"HCM process for placement of cleaning candidates with in the OVG is still in process. Zwiito is
also already contracted Cleaning services at Praetor Building, the sevices would be a natural
continuation for securing cleaning and hygiene services until HCM process is complete","R 20 700,00","R 745 200,00","R 103 500,00",2024/02/29,2024/03/01,2024/03/31,Reported
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023/2024 QUARTER 4,,,,,,,,,,,,
,Total number of Expansions received:,,,,,,,,,,,,
,Total number of Expansions reported:,,,,,,,,,,,,
,Total number of Expansions closed:,,,,,,,,,,,,
,Percentage Achieved,,,,,,,,,,,,
Signature________________________,,,,,,,,,,,,,
,"SIZI QOLOHLE
CHIEF DIRECTOR: SCM GMC",,,,,,,,,,,,
