row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
112,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",MC - Manufacturing Circle Roundtable Event Funding,Manufacturing Circle,"R 200 000,00",Sole Source Supplier,2023/08/30,2023/08/30,2023/08/30,,
113,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Specialized wiring looms and harnesses for the PUDU systems,Hiconnex (Pty) Ltd,"R 36 067,23",Sole Source Supplier,2023/08/28,2023/08/28,2023/08/28,,
114,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Advertising space for an article for the Municipal Capability and Partnership Programme in the Municipal Focus Magazine,Kweda Media & Communications (Pty) Ltd,"R 43 700,00",Sole Source Supplier,2023/05/09,2023/05/09,2023/05/09,,
115,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Repairs to the Agilent 7900 Inductively Couple Plasma-Optical Mass Spectrometer ICP MS 7900 (JP8202787),Chemetrix Export (Pty) Ltd,"R 139 046,63",Sole Source Supplier,2023/04/09,2023/04/09,2023/04/09,,
116,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Radleys - 1000ml Single Jacketed Process.Vessel Kit and Radleys - B24/29 Reflux Tube + Connecting Set,PROMOLAB (Pty) Ltd,"R 67 501,55",Sole Source Supplier,2023/08/09,2023/08/09,2023/08/09,,
117,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)","Attendance of and Procurement of exhibition space at the 2023 Bio Africa Conference to be held at the Durban ICC, as determined by ACLS Manco on 23 August 2023.",African BIO,"R 287 500,00",Sole Source Supplier,2023/01/09,2023/01/09,2023/01/09,,
118,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Maintenance and service of Kuka robotic arms,Automation (Pty) Ltd,"R 78 982,12",Sole Source Supplier,2023/04/09,2023/04/09,2023/04/09,,
119,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Lab reagents (antibodies),BIOCOM Africa (Pty) Ltd,"R 44 504,52",Sole Source Supplier,2023/09/14,2023/09/14,2023/09/14,,
120,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Importing of display for Pressure transduced 500PT for multi-layer film blowing and installation.,GMCEO Engineering Services (Pty) Ltd,"R 51 659,15",Sole Source Supplier,2023/09/14,2023/09/14,2023/09/14,,
121,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Oracle Agreement Renewal 6423440 (2 Years),Oracle Corporation (South Africa) (Pty) Ltd,"R 2 099 680,58",Sole Source Supplier,2023/09/11,2023/09/03,2025/02/09,,
122,Q3 2023/24,2023/10/16,Council for the Built Environment (CBE),"Approval sought to deviate from the
procurement process and use limited bidding i.e. single source
procurement to appoint a service provider to provide Internal Audit Services to the CBE for a period of 6 months",Rakoma and Associates,"R 718 153,55","Single source selection was used to obtain a quotation from the former Internal Audit
service provider who is aware of the legal matter due to attending the internal CBE
meetings when the old contract was being transitioned into the new contract.",2023/09/06,2023/09/06,2024/03/05,,
123,Q3 2023/24,2023/12/04,"Department of Agriculture, Land Reform and
Rural Development (DALRRD)",Oracle Hardware Support and Maintenance Services Renewal,Oracle Corporation (South Africa) (Pty) Ltd,"R 12 304 099,84",Continuity of service,2023/11/30,2024/01/01,2024/11/30,,
124,Q3 2023/24,2023/09/15,"Department of Communications and Digital
Technologies",Membership fees,ECSA,"R 4 271,00",sole supplier,2023/08/25,2023/08/26,2024/03/31,,
125,Q3 2023/24,2023/09/15,"Department of Communications and Digital
Technologies",Training,Commerce edge SA,"R 73 585,05",sole supplier,2023/09/05,2023/09/18,2023/09/22,,
126,Q3 2023/24,2023/10/10,Department of Employment and Labour (DEL),Request to procure IRMSA Conference Training for Risk Management officials on 10-12October 2023,The Institute of Risk Management SA,"R 3 820 303,00","Provincial Office Risk Management- Request to procure IRMSA Conference Training
for risk Management officials on 10-12October 2023",2023/09/29,Not indicated,Not indicated,,
127,Q3 2023/24,2023/12/07,Department of Employment and Labour (DEL),"An Approval be granted to utilize the law Society of South Africa (LSSA)to procure Procaticla Legal Training Course 2024 (PLT) for one (01) official from the Directorate: Statutory and Advocacy
Services",Statutory and Advocacy Services,"R 19 100,00",Professional Body,2023/11/17,Not indicated,Not indicated,,
128,Q3 2023/24,2023/12/07,Department of Employment and Labour (DEL),An Approval be granted to utilize the law Society of South Africa (LSSA)to procure Procaticla Legal Training Course 2024 (PLT) for one (01) official from the Directorate: Employment Relations,Employment Relations,"R 19 100,00",Professional Body,2023/11/17,Not indicated,Not indicated,,
129,Q3 2023/24,2023/12/07,Department of Employment and Labour (DEL),"Approval be granted to utilize the Law Society of South Africa (LSSA)to procure Procaticla Legal Training Course 2024 (PLT) for one (01) official from the Directorate: Management Advisory
Services",Management Advisory Services,"R 19 100,00",Professional Body,2023/11/17,Not indicated,Not indicated,,
130,Q3 2023/24,2023/12/13,Department of Employment and Labour (DEL),An approval be granted to utilize PSAAA to procure Government Budgeting and Annual Reporting Training Specifacation for the Directorate: Internal Audit at the total amount of R48 293.10,PSAAA,"R 48 293,10",Professinal Body,2023/12/11,Not indicated,Not indicated,,
131,Q3 2023/24,2023/09/27,Department of Employment and Labour (DEL),Training and Development,Employee Assistance Program Association (EAPA-SA),"R 12 599,00","Sole Service provider and deviated from the Instruction Note:Cost Containment
exceeded R2500",2023/09/05,Once-off payment,Once-off payment,,
132,Q3 2023/24,2023/09/28,Department of Employment and Labour (DEL),"An approval be granted to utilize Daruma Restaurant to host the DG's Cocktail evening on 26 September 2023 during the Bricks EWG and LEMM meeting taking place from 26-29 September
2023, Durban, for the Directorate: International Relations",Duram Restaurant,"R 150 000,00","The other venues were ruled out due to safety concerns for high-level dignitaries and
delegates. The recommended was close to the hotels",2023/09/21,2023/11/26,2023/11/29,,
133,Q3 2023/24,2023/09/28,Department of Employment and Labour (DEL),"An approval be granted to utilize Dukkah Restaurant to host the Ministerial Dinner on 28 September 2023 during the BRICS EWG and LEMM meeting taking place from 26-29 September 2023,
Durban, for the Directorate: International Relations",Dukkah Restaurant,"R 278 300,00","The other venues were ruled out due to safety concerns for high-level dignitaries and
delegates. The recommended was close to the hotels",2023/09/28,2023/11/26,2023/11/29,,
134,Q3 2023/24,2023/10/13,"Department of Environment, Forestry and
Fisheries (DEFF)","Request approval for deviation to appoint the previous sita-contracted service provider (gp infotech) to continue to provide support and maintenance (non-mandatory sita service) on a single
source basis for all applications supported under annexure k for a period of 24 months.",GP Infotech,"R 49 828 040,65","The service provider (GP Infotech) to continue to provide support and maintenance
(non-mandatory sita service) on a single source basis for all applications supported
under annexure k for a period of 24 months.",2023/07/19,2023/07/19,2026/07/18,,
135,Q3 2023/24,2023/10/13,"Department of Environment, Forestry and
Fisheries (DEFF)","Request approval for the appointment of sandock austral shipyards as a single source to complete the department of forestry, fisheries and the environment apprehenticeship programme",Sandock Austral Shipyards,"R 682 247,00","The service provider Sandock Austral Shipyards as a single source to complete the
department of forestry, fisheries and the environment apprehenticeship programme",2023/07/19,2023/07/19,2024/01/18,,
136,Q3 2023/24,2023/10/13,"Department of Environment, Forestry and
Fisheries (DEFF)",Request for approval to deviate from competitive procurement processes for the appointment of a government printing works for publication of notices for a period of 36 months,Government Printing Working,"R 2 500 000,00",Publishing services for period of 24 months,2023/04/03,2023/04/03,2025/04/05,,
137,Q3 2023/24,2023/10/13,"Department of Environment, Forestry and
Fisheries (DEFF)","Request for approval to appoint the University of Pretoria’s Veterinary Genetics Laboratory as a sole source to provide the services for the analysis of routine and stockpile Rhino Deoxyribonuclei
Acid (DNA) for a period of three (3) years.","the University of Pretoria’s (UP) Veterinary Genetics
Laboratory (VGL)","R 7 500 000,00","VGL is the only laboratory which can individualise, analysise, indicate that the DNA is
either from a white or a black rhino and also indicate that the DNA comes from a
specific rhino / rhino horn",2023/07/15,2023/07/15,2026/07/14,,
138,Q3 2023/24,2023/10/13,"Department of Environment, Forestry and
Fisheries (DEFF)","Request for approval to deviate from competitive procurement processes for the appointment of barloworld south africa (pty) ltd as a single source appointment to provide the services for
caerpillar and challengers equipment, maintenance, services and spare parts required for use in antartica for brance: ocean and coasts for a period of fourty-eight (48) months",Barloworld South Africa (pty) ltd,"R 14 500 000,00","The appointment of barloworld South Africa (pty) ltd as a single source appointment
to provide the services for caerpillar and challengers equipment, maintenance,
services and spare parts required for use in antartica for brance: ocean and coasts
for a period of fourty-eight (48) months.",2023/08/30,Not Stated,Not Stated,,
139,Q3 2023/24,2023/11/08,"Department of Environment, Forestry and
Fisheries (DEFF)","The appointment of The Cape Town International Convention Centre (CTICC) as the venue to host The International Solid Waste Association (ISWA) 2024 World Congress on 16-18 September
2024 through a single source procurement method",Cape Town International Convention Centre,"R 1 784 995,50","The hosting of such an international event will increase the number of tourists in
South Africa and the region and this will result in additional spending within South
Africa and the region. The CTICC could provide for the event and it is on the basis of
its stength and competitive advantage over other facilities in Cape Town that South
Africa was able to win th Bid for hosting the ISWA World COngress 2024",2023/10/25,2024/09/16,2024/09/18,,
140,Q3 2023/24,2023/10/04,"Department of Higher Education and Training
(DHET)","Appointment of Lebese Attorneys to draft regulations to the National Qualifications amendment Act,2019 (ACT NO.12 of 2019)and to consider and incorporate further comments received to the
NQF further amendment Bill",Lebese Incorporated Attorneys,"R 350 000,00","Single Source: The process of requesting quotations will in our view ,further protract
an already delayed implementation of the amendment Act in that if a new service
provider is apppointed,it would entail consulting with them to give them brief that
they peruse the prinicipal Act",2023/10/03,2023/10/03,Once off,,
141,Q3 2023/24,2023/10/18,"Department of Higher Education and Training
(DHET)","Signing ceremony of a memorandum of understanding between South Africa and Netherlands on cooperation in the field of Higher Education, Technical Vocational Education.",Council for Scientific and Industrial Research(CSIR),"R 4 905,55","Securing a venue at the council for Scientific and Industrial Research,Onyx Room
accomodating twenty(20) people for signing a memorandum of understanding with
the Netherlands on the 17th October 2023",2023/10/16,2023/10/17,2023/10/17,,
142,Q3 2023/24,2023/11/02,"Department of Higher Education and Training
(DHET)","Deviation from normal procurement process to appoint a service provider on the DHET database to print,pack and deliver all examination stationery for a period of six months or until a tender is
awarded",Modutathoko Design and Projects,"R 420 000,00","The current stock levels for the examination stationery will be sufficient for the
current April 2023 exam, but will not be sufficient for the June, August and November
2023 examination cycles. The unit urgently needs to procure stationery for the
coming examination cycle so that students wiill be able to write the examination on
the correct exam materials.",2023/10/20,2023/10/20,Once-off,,
143,Q3 2023/24,2023/11/02,"Department of Higher Education and Training
(DHET)","Deviation from normal procurement process to appoint a service provider on the DHET database to print,pack and deliver all examination stationery for a period of six months or until a tender is
awarded",Sabekile Marketing and Graphics,"R 506 000,00","The current stock levels for the examination stationery will be sufficient for the
current April 2023 exam, but will not be sufficient for the June, August and November
2023 examination cycles. The unit urgently needs to procure stationery for the
coming examination cycle so that students wiill be able to write the examination on
the correct exam materials.",2023/10/12,2023/10/12,Once-off,,
144,Q3 2023/24,2023/11/02,"Department of Higher Education and Training
(DHET)","Deviation from normal procurement process to appoint a service provider on the DHET database to print,pack and deliver all examination stationery for a period of six months or until a tender is
awarded",Government Printing Works,"R 184 000,00","The current stock levels for the examination stationery will be sufficient for the
current April 2023 exam, but will not be sufficient for the June, August and November
2023 examination cycles. The unit urgently needs to procure stationery for the
coming examination cycle so that students wiill be able to write the examination on
the correct exam materials.",2023/10/25,2023/10/25,Once-off,,
145,Q3 2023/24,2023/09/18,"Department of Higher Education and Training
(DHET)",Annual govtech conference from 12-14 September 2023,State Information Technology Agency,"R 67 200,00","Officials to attend Govtech conference to engage and identify creative ways to
mainstream ICT solutions for development",2023/09/08,2023/09/12,2023/09/14,,
146,Q3 2023/24,2023/09/18,"Department of Higher Education and Training
(DHET)",Additional items for the hosting of the inaugunal meeting of the committee for intergrated PSET system planning to be held from 7 to 8 September 2023,Olive Convention Centre,"R 28 336,00","Additional items were required such as extra lemon & herb chicken, decor,stage
flowers and sign language",2023/09/06,2023/09/07,2023/09/08,,
147,Q3 2023/24,2023/09/20,"Department of Higher Education and Training
(DHET)",Examination answebooks(BOE9/5 bands for examination answer scripts),The Printbru,"R 510 000,00","Due to tight time frames for the coming examinations and fact that the unit does not
have sufficient stock on hand.Whilst the new tender processes is in progress",2023/09/08,Once-Off,Once-Off,,
148,Q3 2023/24,2023/09/29,"Department of Higher Education and Training
(DHET)","Appointment of service providers on the DHET data base to Print, Pack and Deliver all examination stationery for a period of six months or until a tender is awarded",Busi Ntuli Communications (Pty) Ltd,"R 2 415 000,00","The unit is seeking to deviate from the process because of the tight time frames for
the coming examinations and the fact that the unit does not have sufficient stock on
hand.",2023/09/21,2023/09/21,Not Stated,,
149,Q3 2023/24,2023/09/15,"Department of Higher Education and Training
(DHET)",Printing of National Plan for the Post School Education and Training 2021-2023 documents.,Janine Smit Editorial Services,"R 28 553,30","To ensure that the Minister would have a document for the launch of PSET PLAN
and to provide altarnative to USB's.",2023/09/01,2023/09/01,2023/09/04,,
150,Q3 2023/24,2023/10/02,Department of Human Settlements (DHS),BMC Footprint Licenses,Onsoft Pty Ltd,"R 569 135,00",Sole Supplier,2023/09/22,2023/10/21,2024/10/20,,
151,Q3 2023/24,2023/10/02,Department of Human Settlements (DHS),Sabinet Online,Sabinet Online,"R 111 697,72",Sole Supplier,2023/09/22,2023/09/22,2024/09/22,,
152,Q3 2023/24,2023/10/02,"Department of International Relations and
Cooperation (DIRCO)","Oslo: Deviation of SCM processes to enter into a new lease agreement for Mr Moreki LD from 01 June 2023 to 15 December 2026 through which the official will exceed his qualifying financial
rebtal norm.",Josefine gate 28A 0351,"R 2 304 505,00",Procurement of goods and services for South African Missions abroad,2023/10/02,2023/06/01,2026/12/15,,
153,Q3 2023/24,2023/10/02,"Department of International Relations and
Cooperation (DIRCO)","Geneva: Deviation: Renewal of current lease contract for Amb X Mlumbi-Peter Ambassador to the word trade organisation from 1 June 2023 to 30 September 2023 and deviation from SCM
procurement processes","Chemin des chataigniers 19,1292 pregnychambesyl","R 1 262 242,00",Procurement of goods and services for South African Missions abroad,2023/10/02,2023/06/01,2023/09/30,,
154,Q3 2023/24,2023/10/02,"Department of International Relations and
Cooperation (DIRCO)",Dublin: Request for deviation from SCM procurement processes and renewal of the lease of the Official Residence from 01 July 2023 to 15 December 2023,"16 shrewberry road,Ballsbridge","R 1 043 580,00",Procurement of goods and services for South African Missions abroad,2023/10/02,2023/07/01,2023/12/15,,
